# slug | brand | code | assigned_leaf | price | title | description
siemens-ed851hq26e | Siemens | ED851HQ26E | hobs | 1999 | "SIEMENSIQ500 80cm Venting Induction Hob ED851HQ26E - TouchSlider - HomeConnect - AutoOnFan -Bevelled Edge - B" | "ED851HQ26E SIEMENSIQ500 80cm Venting Induction Hob ED851HQ26E - TouchSlider - HomeConnect - AutoOnFan -Bevelled Edge - B"
sony-bdps1700k-cek | Sony | BDPS1700K.CEK | blu-ray-players | 108.29 | "Blu-ray Player - Black" | "BDPS1700K Sony BDPS1700K.CEK Blu-ray Player - Black"
sony-hta9000-cek | Sony | HTA9000.CEK | soundbars-speakers | 1004 | "7.0.2 Dolby Atmos® Soundbar - Black" | "HTA9000.CEK Sony HTA9000.CEK 7.0.2 Dolby Atmos® Soundbar - Black"
sony-htan7-ce7 | Sony | HTAN7.CE7 | soundbars-speakers | 194 | "Wireless Sony Wireless Dolby Atmos® Neckband Speaker - Black" | "HTAN7.CE7 Sony HTAN7.CE7 Wireless Sony Wireless Dolby Atmos® Neckband Speaker - Black"
sony-k43s38bp-uka | Sony | K43S38BP.UKA | televisions | 488 | "43\" 4K HDR Google TV" | "K43S38BP.UKA \"Sony K43S38BP.UKA 43\" 4K HDR Google TV \""
sony-k50s38b-uka | Sony | K50S38B.UKA | televisions | 597 | "50\" 4K Bravia 3 4K HDR Google TV" | "K50S38B.UKA \"Sony K50S38B.UKA 50\" 4K Bravia 3 4K HDR Google TV \""
sony-k55s38b-uka | Sony | K55S38B.UKA | televisions | 747 | "BRAVIA K55S38B.UKA 55\" 4K HDR Google TV" | "K55S38B.UKA \"Sony BRAVIA K55S38B.UKA 55\" 4K HDR Google TV \""
sony-k55xr55b-uka | Sony | K55XR55B.UKA | televisions | 1121 | "55\" 4K BRAVIA 5 Mini LED HDR Google TV" | "K55XR55B.UKA \"Sony K55XR55B.UKA 55\" 4K BRAVIA 5 Mini LED HDR Google TV\""
sony-k55xr80pu | Sony | K55XR80PU | televisions | 1503 | "55\" 4K OLED TV" | "K55XR80PU \"Sony K55XR80PU 55\" 4K OLED TV\""
sony-k55xr8m25bp-uka | Sony | K55XR8M25BP.UKA | televisions | 1727 | "55\" BRAVIA 8 II QD-OLED 4K HDR Google TV" | "K55XR8M25BP.UKA \"Sony K55XR8M25BP.UKA 55\" BRAVIA 8 II QD-OLED 4K HDR Google TV \""
sony-k65s38b-uka | Sony | K65S38B.UKA | televisions | 901 | "65\" 4K BRAVIA 3 LED HDR Google TV" | "K65S38B.UKA \"Sony K65S38B.UKA 65\" 4K BRAVIA 3 LED HDR Google TV\""
sony-k65xr55b-uka | Sony | K65XR55B.UKA | televisions | 1273 | "65\" 4K BRAVIA 5 Mini LED HDR Google TV" | "K65XR55B.UKA Sony K65XR55B.UKA 65\" 4K BRAVIA 5 Mini LED HDR Google TV"
sony-k65xr80u | Sony | K65XR80U | televisions | 1878 | "65\" 4K OLED TV" | "K65XR80U \"Sony K65XR80U 65\" 4K OLED TV\""
sony-k75s38b-uka | Sony | K75S38B.UKA | televisions | 1125 | "75\" 4K BRAVIA 3 LED HDR Google TV" | "K75S38B.UKA \"Sony K75S38B.UKA 75\" 4K BRAVIA 3 LED HDR Google TV\""
sony-k75xr55bp-uka | Sony | K75XR55BP.UKA | televisions | 1503 | "75\" 4K BRAVIA 5 Mini LED HDR Google TV" | "K75XR55BP.UKA \"Sony K75XR55BP.UKA 75\" 4K BRAVIA 5 Mini LED HDR Google TV\""
sony-k77xr80pu | Sony | K77XR80PU | televisions | 2777 | "77\" 4K OLED TV" | "K77XR80PU \"Sony K77XR80PU 77\" 4K OLED TV\""
sony-k85s38bp-uka | Sony | K85S38BP.UKA | televisions | 1423 | "85\" 4K BRAVIA 3 LED HDR Google TV" | "K85S38BP.UKA \"Sony K85S38BP.UKA 85\" 4K BRAVIA 3 LED HDR Google TV\""
sony-k85xr55bp-uka | Sony | K85XR55BP.UKA | televisions | 2089 | "85\" 4K BRAVIA 5 Mini LED HDR Google TV" | "K85XR55BP.UKA \"Sony K85XR55BP.UKA 85\" 4K BRAVIA 5 Mini LED HDR Google TV\""
sony-k98xr55bp-uka | Sony | K98XR55BP.UKA | televisions | 4520 | "98\" BRAVIA 5 4K LED TV" | "K98XR55BP.UKA \"Sony K98XR55BP.UKA 98\" BRAVIA 5 4K LED TV \""
sony-kd32w800p1u | Sony | KD32W800P1U | televisions | 302 | "32\" HD Ready HDR LED TV with Google Assistant" | "KD32W800P1U Sony KD32W800P1U 32\" HD Ready HDR LED TV with Google Assistant"
sony-xr42a90ku | Sony | XR42A90KU | televisions | 1274 | "42\" 4K Ultra HD HDR Google TV" | "XR42A90KU \"Sony XR42A90KU 42\" 4K Ultra HD HDR Google TV\""
sony-xr48a90ku | Sony | XR48A90KU | televisions | 1399 | "48\" 4K OLED Ultra HD HDR Google TV" | "XR48A90KU Sony XR48A90KU 48\" 4K OLED Ultra HD HDR Google TV"
sony-xr77a95lpu | Sony | XR77A95LPU | televisions | 4449 | "77\" 4K HDR Google Smart TV" | "XR77A95LPU \"Sony XR77A95LPU 77\" 4K HDR Google Smart TV\""
statesman-chz460t | Statesman | CHZ460T | hobs | 149.99 | "SKU:CHZ460T 4 Zone Ceramic Hob Cooktop, Touch Control, 6400W, 60cm, Black" | "CHZ460T Statesman SKU:CHZ460T 4 Zone Ceramic Hob Cooktop, Touch Control, 6400W, 60cm, Black"
