# slug | brand | code | assigned_leaf | price | title | description
neff-00577170 | Neff | 00577170 | cooking-accessories | 27 | "Multi-use Wire Shelf" | "Multi-use Wire Shelf"
neff-00704535 | Neff | 00704535 | cooker-hood-accessories | 375.49 | "Chimney Extension: 1500mm" | "Chimney Extension: 1500mm"
neff-00704536 | Neff | 00704536 | cooker-hood-accessories | 234.37 | "Chimney Extension: 1500mm" | "Chimney Extension: 1500mm"
neff-00704539 | Neff | 00704539 | cooker-hood-accessories | 231.97 | "Chimney Extension: 1100mm" | "Chimney Extension: 1100mm"
neff-00704540 | Neff | 00704540 | cooker-hood-accessories | 198.2 | "Chimney Extension: 1000mm" | "Chimney Extension: 1000mm"
neff-00704541 | Neff | 00704541 | cooker-hood-accessories | 164.14 | "Chimney Extension: 1000mm" | "Chimney Extension: 1000mm"
neff-00704640 | Neff | 00704640 | cooker-hood-accessories | 130.42 | "Mounting Tower Extension" | "Mounting Tower Extension"
neff-00704641 | Neff | 00704641 | cooker-hood-accessories | 205.58 | "Mounting Tower Extension" | "Mounting Tower Extension"
neff-00704643 | Neff | 00704643 | cooker-hood-accessories | 204.66 | "Mounting Tower Extension" | "Mounting Tower Extension"
neff-00706588 | Neff | 00706588 | cooker-hood-accessories | 58.98 | "Standard Recirculation Kit" | "Standard Recirculation Kit"
neff-00708572 | Neff | 00708572 | cooking-accessories | 200.98 | "Full Extension Rails: 4-Fold" | "Full Extension Rails: 4-Fold"
neff-00740766 | Neff | 00740766 | cooking-accessories | 11.21 | "Oven Wire Shelf Insert 384mm x 313mm x 60mm" | "Oven Wire Shelf Insert 384mm x 313mm x 60mm"
neff-00740815 | Neff | 00740815 | cooking-accessories | 23.12 | "Multi-use Wire Shelf" | "Multi-use Wire Shelf"
neff-00741839 | Neff | 00741839 | cooking-accessories | 32.56 | "Baking tray" | "Baking tray"
neff-00742016 | Neff | 00742016 | cooking-accessories | 66.42 | "Telescopic Extension Rails" | "Telescopic Extension Rails"
neff-00744075 | Neff | 00744075 | cooker-hood-accessories | 48.73 | "Standard Odour Filter" | "Standard Odour Filter"
neff-00747446 | Neff | 00747446 | cooker-hood-accessories | 131.57 | "Adapter for Roof Inclination: Left/Right" | "Adapter for Roof Inclination: Left/Right"
neff-00747448 | Neff | 00747448 | cooker-hood-accessories | 130.55 | "Adaptor for Roof Pitches" | "Adaptor for Roof Pitches"
neff-00747472 | Neff | 00747472 | cooker-hood-accessories | 156.94 | "Standard Odor Filter" | "Standard Odor Filter"
neff-00748732 | Neff | 00748732 | cooker-hood-accessories | 106.01 | "Standard Odour Filter: 2-Pack" | "Standard Odour Filter: 2-Pack"
neff-00772339 | Neff | 00772339 | cooker-hood-accessories | 182.24 | "Standard Recirculation Kit" | "Standard Recirculation Kit"
neff-00772529 | Neff | 00772529 | cooker-hood-accessories | 177.7 | "Standard Recirculation Kit" | "Standard Recirculation Kit"
neff-00772530 | Neff | 00772530 | cooker-hood-accessories | 160.85 | "Standard Recirculation Kit" | "Standard Recirculation Kit"
neff-00773301 | Neff | 00773301 | cooking-accessories | 110.44 | "Installation kit Seamless Combination mounting kit" | "Installation kit Seamless Combination mounting kit"
neff-00773302 | Neff | 00773302 | cooking-accessories | 148.46 | "Installation Kit for Slide and Hide Ovens" | "Installation Kit for Slide and Hide Ovens"
neff-00796390 | Neff | 00796390 | cooker-hood-accessories | 51 | "Cooker Hood Standard Odour Filter" | "Cooker Hood Standard Odour Filter"
neff-10004928 | Neff | 10004928 | hob-accessories | 74.62 | "TwistPad Knob" | "TwistPad Knob"
neff-10031132 | Neff | 10031132 | dishwasher-accessories | 7.55 | "Clip Clips for Small Items (3 clips)" | "Clip Clips for Small Items"
neff-11005734 | Neff | 11005734 | cooker-hood-accessories | 23.98 | "Standard Odor Filter" | "Standard Odor Filter"
neff-11005750 | Neff | 11005750 | cooker-hood-accessories | 13.78 | "Paper filter Filter-grease" | "Paper filter Filter-grease"
neff-11005948 | Neff | 11005948 | cooker-hood-accessories | 159.48 | "Standard recirculation kit" | "Standard recirculation kit"
neff-11005967 | Neff | 11005967 | coffee-accessories | 30.36 | "Stainless Steel Insulated Milk Container" | "Stainless Steel Insulated Milk Container"
neff-11008387 | Neff | 11008387 | refrigeration-accessories | 4.58 | "Ice Cube Tray with Lid" | "Ice Cube Tray with Lid"
neff-11010062 | Neff | 11010062 | refrigeration-accessories | 11.18 | "Refridgerator Bottle Rack" | "Refridgerator Bottle Rack"
neff-11027159 | Neff | 11027159 | cooking-accessories | 84.14 | "Large stainless steel cooking dish" | "Large stainless steel cooking dish"
neff-11027160 | Neff | 11027160 | cooking-accessories | 85.19 | "Large stainless steel cooking tray" | "Large stainless steel cooking tray"
neff-11029049 | Neff | 11029049 | cooking-accessories | 30.22 | "Universal Oven Pan - Enamelled Anthracite" | "Universal Oven Pan - Enamelled Anthracite"
neff-11032252 | Neff | 11032252 | refrigeration-accessories | 43.91 | "Filter bypass cap and adapter part for refrigerator" | "Filter bypass cap and adapter part for refrigerator"
neff-11032518 | Neff | 11032518 | refrigeration-accessories | 58.87 | "UltraClarity Pro Water Filter Cartridge" | "UltraClarity Pro Water Filter Cartridge"
neff-11033745 | Neff | 11033745 | cooking-accessories | 152.45 | "ComfortFlex Rail Hook-in rack pair complete, left and right, not for pyrolysis 4 levels, 1 Flexi pull out, Standard, Neff, max. 15 kg" | "ComfortFlex Rail Hook-in rack pair complete, left and right, not for pyrolysis"
neff-11034151 | Neff | 11034151 | refrigeration-accessories | 52.15 | "UltraClarity Fridge Water Filter" | "UltraClarity Fridge Water Filter"
