# slug | brand | code | assigned_leaf | price | title | description
lg-oled65c56lb-aek | LG | OLED65C56LB.AEK | televisions | 249.99 | "65\" 4K Smart TV" | "OLED65C56LB LG OLED65C56LB.AEK 65\" 4K Smart TV"
liebherr-rd5000 | Liebherr | Rd5000 | fridges | 740 | "Rd 5000 Pure Refrigerator with EasyFresh" | "Rd5000 Rd 5000 Pure Refrigerator with EasyFresh"
liebherr-urd3600 | Liebherr | URd3600 | fridges | 633 | "Built-Under Larder Fridge - Fixed Hinge - D Energy" | "URd3600 LIEBHERR Built-Under Larder Fridge - Fixed Hinge - D Energy"
midea-mdrb202fge01 | Midea | MDRB202FGE01 | fridge-freezers | 199 | "47cm 60/40 Low Frost Fridge Freezer - White" | "MDRB202FGE01 Midea MDRB202FGE01 47cm 60/40 Low Frost Fridge Freezer - White"
midea-mdrb254fge01 | Midea | MDRB254FGE01 | fridge-freezers | 219 | "MDRB202FGE01 47cm 60/40 Low Frost Fridge Freezer - White" | "MDRB254FGE01 Midea MDRB202FGE01 47cm 60/40 Low Frost Fridge Freezer - White"
midea-mdrb379fgd01 | Midea | MDRB379FGD01 | fridge-freezers | 299 | "54.7cm 60/40 Total No Frost Fridge Freezer - White" | "MDRB379FGD01 Midea MDRB379FGD01 54.7cm 60/40 Total No Frost Fridge Freezer - White"
midea-mdrc154fze01 | Midea | MDRC154FZE01 | freezers | 119 | "99 Ltr Chest Freezer - Switch Mode (Freezer - Fridge) - FastFreeze - White" | "MDRC154FZE01 MIDEA MDRC154FZE01 99 Ltr Chest Freezer - Switch Mode (Freezer - Fridge) - FastFreeze - White"
midea-mdrc211fze01 | Midea | MDRC211FZE01 | freezers | 129 | "143 Ltr Static Chest Freezer - White" | "MDRC211FZE01 Midea MDRC211FZE01 143 Ltr Static Chest Freezer - White"
miele-boostcx1cat-dog | Miele | BOOSTCX1CAT_DOG | vacuum-cleaners | 293.79 | "Boost CX1 Cat & Dog Bagless Cylinder Vacuum Cleaner - Obsidian Black" | "BOOSTCX1CAT_DOG Miele Boost CX1 Cat & Dog Bagless Cylinder Vacuum Cleaner - Obsidian Black"
miele-fns7710e | Miele | FNS7710E | freezers | no-price | "Integrated Freezer - Fixed Hinge - NoFrost - Wifi - E Energy - Left Hinge(Convertible) - 178*56" | "FNS7710E MIELE Integrated Freezer - Fixed Hinge - NoFrost - Wifi - E Energy - Left Hinge(Convertible) - 178*56"
miele-g5611sc | Miele | G5611SC | freestanding-dishwashers | 749 | "60cm Freestanding Dishwasher - Cutlary Tray - QuickPowerWash - AutoOpenDrying - 13Place - 5Prog. B Energy" | "G5611SC Miele 60cm Freestanding Dishwasher - Cutlary Tray - QuickPowerWash - AutoOpenDrying - 13Place - 5Prog. B Energy"
miele-g5651scvi | Miele | G5651SCVi | integrated-dishwashers | 849 | "60cm Fully Integrated Dishwasher - Cutlery Tray - 45dB - QuickPowerWash - AutoOpenDry - A" | "G5651SCVi MIELE 60cm Fully Integrated Dishwasher - Cutlery Tray - 45dB - QuickPowerWash - AutoOpenDry - A"
miele-g5851scvi | Miele | G5851SCVi | integrated-dishwashers | 1199 | "60cm Fully Integrated Dishwasher - 3D Tray - QuickPowerWash - 14 Place Setting - AutoOpen - A Energy" | "G5851SCVi MIELE 60cm Fully Integrated Dishwasher - 3D Tray - QuickPowerWash - 14 Place Setting - AutoOpen - A Energy"
miele-guardl1c-dflex | Miele | GUARDL1C_DFLEX | vacuum-cleaners | 288.99 | "GuardL1C&Dflex Cat & Dog Flex Cylinder Vacuum - Obsidian Black" | "GUARDL1C_DFLEX Miele GuardL1C&Dflex Cat & Dog Flex Cylinder Vacuum - Obsidian Black"
miele-guardm1c-dflex | Miele | GUARDM1C_DFLEX | vacuum-cleaners | 349 | "GuardM1C&DFlex Vacuum - Obsidian Black" | "GUARDM1C_DFLEX Miele GuardM1C&DFlex Vacuum - Obsidian Black"
miele-h2465bp | Miele | H2465BP | ovens | 999 | "Built In Single Oven - 7 Functions, EasyControl Plus, 76 litre capacity, Automatic Programmes" | "H2465BP MIELE Built In Single Oven - 7 Functions, EasyControl Plus, 76 litre capacity, Automatic Programmes"
miele-h2766-1bp | Miele | H2766-1BP | air-fryers-multi-cookers | 1399 | "Built In Single Oven - 125 Year Special Edition - AirFry Oven - 7 Functions - 76L - Pyrolytic - Black" | "H2766-1BP MIELE Built In Single Oven - 125 Year Special Edition - AirFry Oven - 7 Functions - 76L - Pyrolytic - Black"
miele-hx1duo | Miele | HX1DUO | cordless-vacuums | 289 | "Cordless Handstick Vacuum Cleaner - Sunset Yellow" | "HX1DUO Miele HX1DUO Cordless Handstick Vacuum Cleaner - Sunset Yellow"
miele-k7747c | Miele | K7747C | fridges | 2049 | "Integrated Larder Fridge- Fixed Hinge - Reversible Door - LED Lighting - WiFi - PerfectFresh & more - C Energy" | "K7747C MIELE Integrated Larder Fridge- Fixed Hinge - Reversible Door - LED Lighting - WiFi - PerfectFresh & more - C Energy"
miele-kfn7744c | Miele | KFN7744C | fridge-freezers | 1979 | "Built-in fridge-freezer, 178 cm niche height PerfectFresh Pro, LED lighting and NoFrost for best possible storage." | "KFN7744C MIELE Built-in fridge-freezer, 178 cm niche height PerfectFresh Pro, LED lighting and NoFrost for best possible storage."
miele-km7363fl | Miele | KM7363FL | hobs | 1149 | "62cm Induction Hob - Flush/Surface -620mm wide (for cut outs of 600 for flush fit, or 560-600 surface" | "KM7363FL MIELE 62cm Induction Hob - Flush/Surface -620mm wide (for cut outs of 600 for flush fit, or 560-600 surface"
miele-miele-hycleanpureco | Miele | Miele_HYCLEANPURECO | vacuum-accessories | 14.69 | "HYCLEANPURECO Miele HyClean Pure TU (Standard box) Vacuum Cleaner Bags" | "HYCLEANPURECO Miele HyClean Pure TU (Standard box) Vacuum Cleaner Bags"
miele-wee385wcs | Miele | WEE385WCS | washing-machines | 1299 | "WEE385 WCS 8kg 1400 Spin Washing Machine - Lotus White" | "WEE385WCS Miele WEE385 WCS 8kg 1400 Spin Washing Machine - Lotus White"
neff-c24mt73g0b | Neff | C24MT73G0B | ovens | 1999 | "N90 Compact Oven with Micro - C24MT73G0B - Pyro - 6.8\" Premium Full Touch TFT Display - 20 functions" | "C24MT73G0B NEFF N90 Compact Oven with Micro - C24MT73G0B - Pyro - 6.8\" Premium Full Touch TFT Display - 20 functions"
neff-hlawd53n0b | Neff | HLAWD53N0B | microwaves | 591 | "Microwave Oven HLAWD53N0B • BLACK with steel trim • Upto 900W • 25L • 5 power levels • electronic" | "HLAWD53N0B NEFF Microwave Oven HLAWD53N0B • BLACK with steel trim • Upto 900W • 25L • 5 power levels • electronic"
neff-ki7851se0g-2 | Neff | KI7851SE0G | fridge-freezers | 749 | "Integrated Fridge Freezer KI7851SE0G - NoFrost Freezer - 5050 Split - SlidingHinge - XXL Freshsafe Drawer - E Energy" | "KI7851SE0G NEFF Integrated Fridge Freezer KI7851SE0G - NoFrost Freezer - 5050 Split - SlidingHinge - XXL Freshsafe Drawer - E Energy"
neff-s155hvx00g | Neff | S155HVX00G | integrated-dishwashers | 514 | "N50 Fully Integrated Dishwasher - FlexBaskets - InfoLight - Polinox - HomeConnect - D Energy" | "S155HVX00G NEFF N50 Fully Integrated Dishwasher - FlexBaskets - InfoLight - Polinox - HomeConnect - D Energy"
neff-s197ycx05g-2 | Neff | S197YCX05G | integrated-dishwashers | 999 | "(PDF)NEFF N70 Integrated Dishwasher S197YCX05G -Zeolith - 7 Prog. - FlexDrawer - Door Open Assist - 14place Vario" | "S197YCX05G (PDF)NEFF N70 Integrated Dishwasher S197YCX05G -Zeolith - 7 Prog. - FlexDrawer - Door Open Assist - 14place Vario"
neff-s295hcx17g | Neff | S295HCX17G | integrated-dishwashers | 863 | "N50 Extra Height Fully Integrated Dishwasher S295HCX17G - GapIllumination - DoorOpenAssist-14Place - VarioHinge - C Energy" | "S295HCX17G NEFF N50 Extra Height Fully Integrated Dishwasher S295HCX17G - GapIllumination - DoorOpenAssist-14Place - VarioHinge - C Energy"
neff-z5155x0 | Neff | Z5155X0 | cooker-hood-accessories | 65 | "Recirculating Filter Cassette Z5155X0" | "Z5155X0 NEFF Recirculating Filter Cassette Z5155X0"
ninja-bc151ukbk | Ninja | BC151UKBK | blenders | 48 | "Cordless Portable Motorised/Compact Blender - Black" | "BC151UKBK Ninja BC151UKBK Cordless Portable Motorised/Compact Blender - Black"
