# slug | brand | code | assigned_leaf | price | title | description
neff-17007637 | Neff | 17007637 | cooking-accessories | 103.85 | "Telescopic rails 1 level Full ext rails, level independent, steam" | "Telescopic rails 1 level Full ext rails, level independent, steam"
neff-00311946 | Neff | 00311946 | cleaning-products | 11.66 | "Cleaning Powder for Stainless Steel Surfaces" | "Cleaning Powder for Stainless Steel Surfaces"
neff-00311964 | Neff | 00311964 | cleaning-products | 18.58 | "Cleaning & Care Set: Stainless Steel Surfaces" | "Cleaning & Care Set: Stainless Steel Surfaces"
neff-00312007 | Neff | 00312007 | cleaning-products | 8.76 | "Conditioning Cloths: Stainless Steel Surfaces" | "Conditioning Cloths: Stainless Steel Surfaces"
neff-00312111 | Neff | 00312111 | cleaning-products | 16.7 | "Care Set for Heat Pump Dryer 4x125ml" | "Care Set for Heat Pump Dryer 4x125ml"
neff-00312295 | Neff | 00312295 | cleaning-products | 8.21 | "Cleaning tablets for coffee machines" | "Cleaning tablets for coffee machines"
neff-00312324 | Neff | 00312324 | cleaning-products | 8.65 | "Cleaning Gel for Ovens (200 ml)" | "Cleaning Gel for Ovens (200 ml)"
neff-00312327 | Neff | 00312327 | cleaning-products | 20.45 | "Microfiber E-Cloth set for stainless steel and glass" | "Microfiber E-Cloth set for stainless steel and glass"
neff-00312331 | Neff | 00312331 | cleaning-products | 27.05 | "Quick descaler (4 Pack)" | "Quick descaler (4 Pack)"
neff-00312361 | Neff | 00312361 | cleaning-products | 9.59 | "Dishwasher Care (250ml)" | "Dishwasher Care (250ml)"
neff-00312362 | Neff | 00312362 | cleaning-products | 27.05 | "Dishwasher Cleaner Removes Grease and Limescale 250ml x 4" | "Dishwasher Cleaner Removes Grease and Limescale 250ml x 4"
neff-00312474 | Neff | 00312474 | cleaning-products | 23.02 | "Heat pump dryer care product for dryers with integrated care program" | "Heat pump dryer care product for dryers with integrated care program"
neff-00312476 | Neff | 00312476 | cleaning-products | 6.71 | "Special Fridge Cleaner (500ml)" | "Special Fridge Cleaner (500ml)"
neff-00312477 | Neff | 00312477 | cleaning-products | 10.91 | "Dishwasher Cleaner (4 Sachets)" | "Dishwasher Cleaner (4 Sachets)"
neff-00312482 | Neff | 00312482 | cleaning-products | no-price | "Cleaning gel spray for ovens" | "Cleaning gel spray for ovens"
neff-00312485 | Neff | 00312485 | cleaning-products | 29.41 | "Dishwasher Cleaner - Pack of 3" | "Dishwasher Cleaner - Pack of 3"
neff-00312502 | Neff | 00312502 | cleaning-products | 8.21 | "Cleaning tablets 10 tablets Suitable for all fully automatic coffee machines and thermo flasks" | "Cleaning tablets 10 tablets"
neff-00312518 | Neff | 00312518 | cleaning-products | 27.05 | "Machine cleaner Value pack: Washing machine cleaner replacement of 00311928" | "Machine cleaner Value pack: Washing machine cleaner"
neff-00312524 | Neff | 00312524 | cleaning-products | 10.3 | "Quick descaler Quick descaler for washing machines and dishwashers" | "Quick descaler Quick descaler for washing machines and dishwashers"
neff-00312530 | Neff | 00312530 | cleaning-products | 12.05 | "Descaling tablets suitable for coffee machines Region SÜD/WEST (de,en,ar,el,es,fr,hu,it,nl,pt,ru,tr,ukr)" | "Descaling tablets suitable for coffee machines"
neff-00312574 | Neff | 00312574 | cleaning-products | 9.01 | "Descaling tablets Suitable for coffee machines and kettles and hot water dispensers Contents: 6 x 18g - Sufficient for 3 - 6 treatments" | "Descaling tablets Suitable for coffee machines and kettles and hot water dispensers"
neff-00312575 | Neff | 00312575 | cleaning-products | 16.08 | "Descaling tablets Suitable for coffee machines, kettles and hot water dispensers Contents: 12 x 18g - Sufficient for 3 - 6 treatments" | "Descaling tablets Suitable for coffee machines, kettles and hot water dispensers"
neff-00312612 | Neff | 00312612 | cleaning-products | 15.26 | "Degreaser Degreaser for home appliances" | "Degreaser Degreaser for home appliances"
neff-00461732 | Neff | 00461732 | cleaning-products | 13.56 | "Coffee Machine Water Filter" | "Coffee Machine Water Filter"
neff-00570709 | Neff | 00570709 | cleaning-products | 13.66 | "E-Cloth: Stainless Steel Stainless steel cloth" | "E-Cloth: Stainless Steel Stainless steel cloth"
neff-00575393 | Neff | 00575393 | cleaning-products | 9.28 | "Milk Tube Cleaning Brush" | "Milk Tube Cleaning Brush"
neff-17000334 | Neff | 17000334 | cleaning-products | 7.96 | "Glass Scraper" | "Glass Scraper"
neff-17008422 | Neff | 17008422 | cleaning-products | 7.25 | "Replacement Blades for Glass Scraper" | "Replacement Blades for Glass Scraper"
neff-17008835 | Neff | 17008835 | cleaning-products | 13.99 | "Water filter BRITA Intenza Water Filter for coffee machines Contents: 1x water filter" | "Water filter BRITA Intenza Water Filter for coffee machines"
neff-s153htx02g | Neff | S153HTX02G | integrated-dishwashers | 449 | "N 30 Fully-integrated dishwasher 60 cm" | "N 30 Fully-integrated dishwasher"
neff-s175htx14g | Neff | S175HTX14G | integrated-dishwashers | 499 | "N 50 Fully-integrated dishwasher 60 cm Variable hinge" | "N 50 Fully-integrated dishwasher"
neff-s195hcx17g | Neff | S195HCX17G | integrated-dishwashers | no-price | "N 50 Fully-integrated dishwasher 60 cm Variable hinge" | "N 50 Fully-integrated dishwasher"
neff-s197ycx05g | Neff | S197YCX05G | integrated-dishwashers | 999 | "N 70 Fully-integrated dishwasher 60 cm Variable hinge" | "N 70 Fully-integrated dishwasher"
neff-s197zcx08g | Neff | S197ZCX08G | integrated-dishwashers | 799 | "N 70 Fully-integrated dishwasher 60 cm Variable hinge" | "N 70 Fully-integrated dishwasher"
neff-s875hkx32g | Neff | S875HKX32G | integrated-dishwashers | 549 | "N 50 Fully-integrated dishwasher 45 cm Variable hinge" | "N 50 Fully-integrated dishwasher"
neff-n1aha01g0b | Neff | N1AHA01G0B | warming-drawers | 399 | "N 50 Built-in warming drawer 60 x 14 cm Graphite-Grey" | "N 50 Built-in warming drawer"
neff-n1aha01n0b | Neff | N1AHA01N0B | warming-drawers | 399 | "N 50 Built-in warming drawer 60 x 14 cm Stainless steel" | "N 50 Built-in warming drawer"
neff-n24ha11g1b | Neff | N24HA11G1B | warming-drawers | no-price | "N 70 Built-in warming drawer 60 x 14 cm Graphite-Grey" | "N 70 Built-in warming drawer"
neff-n24ha11n1b | Neff | N24HA11N1B | warming-drawers | 599 | "N 70 Built-in warming drawer 60 x 14 cm Stainless steel" | "N 70 Built-in warming drawer"
neff-d51naa1c0b | Neff | D51NAA1C0B | cooker-hoods | 129 | "N 30 Canopy cooker hood 53 cm Grey" | "N 30 Canopy cooker hood"
neff-d54nac1s0b | Neff | D54NAC1S0B | cooker-hoods | 399 | "N 70 Canopy cooker hood 52 cm Black" | "N 70 Canopy cooker hood"
neff-d63idk1s0b | Neff | D63IDK1S0B | cooker-hoods | 369 | "N 30 Wall-mounted cooker hood 60 cm clear glass black printed, Black" | "N 30 Wall-mounted cooker hood"
neff-d64mac1x0b | Neff | D64MAC1X0B | cooker-hoods | no-price | "N 30 Integrated cooker hood 60 cm Silver" | "N 30 Integrated cooker hood"
neff-d65bcc2s0b | Neff | D65BCC2S0B | cooker-hoods | no-price | "N 50 Wall-mounted cooker hood 60 cm Matt black" | "N 50 Wall-mounted cooker hood"
neff-d65ifn1s0b | Neff | D65IFN1S0B | cooker-hoods | 649 | "N 50 Wall-mounted cooker hood 60 cm clear glass black printed, Black" | "N 50 Wall-mounted cooker hood"
neff-d65xcc2s0b | Neff | D65XCC2S0B | cooker-hoods | no-price | "N 50 Integrated Design Hood 60 cm clear glass, Matt black" | "N 50 Integrated Design Hood"
neff-d67bdn2s0b | Neff | D67BDN2S0B | cooker-hoods | no-price | "N 70 Wall-mounted cooker hood 60 cm Matt black" | "N 70 Wall-mounted cooker hood"
neff-d68xet2s0b | Neff | D68XET2S0B | cooker-hoods | no-price | "N 90 Integrated Design Hood 60 cm clear glass black printed, Matt black" | "N 90 Integrated Design Hood"
neff-d75nac1s0b | Neff | D75NAC1S0B | cooker-hoods | 449 | "N 70 Canopy cooker hood 70 cm Black" | "N 70 Canopy cooker hood"
neff-d83idk1s0b | Neff | D83IDK1S0B | cooker-hoods | 399 | "N 30 Wall-mounted cooker hood 80 cm clear glass black printed, Black" | "N 30 Wall-mounted cooker hood"
neff-d85ifn1s0b | Neff | D85IFN1S0B | cooker-hoods | 699 | "N 50 Wall-mounted cooker hood 80 cm clear glass black printed, Black" | "N 50 Wall-mounted cooker hood"
neff-d95bcc2s0b | Neff | D95BCC2S0B | cooker-hoods | 329 | "N 50 Wall-mounted cooker hood 90 cm Matt black" | "N 50 Wall-mounted cooker hood"
neff-d95xcc2s0b | Neff | D95XCC2S0B | cooker-hoods | no-price | "N 50 Integrated Design Hood 90 cm clear glass, Matt black" | "N 50 Integrated Design Hood"
neff-d97bdn2s0b | Neff | D97BDN2S0B | cooker-hoods | no-price | "N 70 Wall-mounted cooker hood 90 cm Matt black" | "N 70 Wall-mounted cooker hood"
neff-d98xet2s0b | Neff | D98XET2S0B | cooker-hoods | no-price | "N 90 Integrated Design Hood 90 cm clear glass black printed, Matt black" | "N 90 Integrated Design Hood"
neff-gi7815ce0g | Neff | GI7815CE0G | freezers | 1149 | "N 90 Built-in freezer 177.2 x 55.8 cm soft close flat hinge" | "N 90 Built-in freezer"
neff-gu7212fe0g | Neff | GU7212FE0G | freezers | 599 | "N 50 Built-under freezer 82 x 59.8 cm flat hinge" | "N 50 Built-under freezer"
neff-ki1811se0g | Neff | KI1811SE0G | fridges | 899 | "N 30 Built-in fridge 177.2 x 54.1 cm sliding hinge" | "N 30 Built-in fridge"
neff-ki1812fe0g | Neff | KI1812FE0G | fridges | 949 | "N 50 Built-in fridge 177.2 x 54.1 cm flat hinge" | "N 50 Built-in fridge"
