# slug | brand | code | assigned_leaf | price | title | description
ninja-bc151ukcr | Ninja | BC151UKCR | blenders | 48 | "Cordless Portable Motorised/Compact Blender - Cranberry" | "BC151UKCR Ninja BC151UKCR Cordless Portable Motorised/Compact Blender - Cranberry"
ninja-cw90928uk | Ninja | CW90928UK | cookware | 72 | "ExtendedLife Ceramic 28cm Wok - Apricot" | "CW90928UK Ninja CW90928UK ExtendedLife Ceramic 28cm Wok - Apricot"
ninja-db351ukbl | Ninja | DB351UKBL | blenders | 129 | "BlendBoss Tumbler Blender - Blue Raspberry" | "DB351UKBL Ninja DB351UKBL Ninja BlendBoss Tumbler Blender - Blue Raspberry"
ninja-dg551uk | Ninja | DG551UK | air-fryers-multi-cookers | 240 | "Electric Air-Grill & Fryer - Black/Stainless Steel - 3.8L" | "DG551UK Ninja DG551UK Electric Air-Grill & Fryer - Black/Stainless Steel - 3.8L"
ninja-dt200uk | Ninja | DT200UK | air-fryers-multi-cookers | 240 | "10 - in - 1 Multifunction Oven - Silver/Black - 16L" | "DT200UK Ninja DT200UK 10 - in - 1 Multifunction Oven - Silver/Black - 16L"
ninja-eg351uk | Ninja | EG351UK | air-fryers-multi-cookers | 180 | "Grill & Air Fryer - Black/Silver - 5.7L" | "EG351UK Ninja EG351UK Grill & Air Fryer - Black/Silver - 5.7L"
ninja-fb131ukgy | Ninja | FB131UKGY | coolers | 199.99 | "FrostVault 30QT/28L Hard Cooler with Dry Zone - Slate Grey" | "FB131UKGY Ninja FB131UKGY FrostVault 30QT/28L Hard Cooler with Dry Zone - Slate Grey"
ninja-fb131ukwh | Ninja | FB131UKWH | coolers | 199.99 | "FrostVault 30QT/28L Hard Cooler with Dry Zone - White" | "FB131UKWH Ninja FB131UKWH FrostVault 30QT/28L Hard Cooler with Dry Zone - White"
ninja-fb151ukgy | Ninja | FB151UKGY | coolers | 249.99 | "FrostVault 50QT/47L Hard Cooler with Dry Zone - Slate Grey" | "FB151UKGY Ninja FB151UKGY FrostVault 50QT/47L Hard Cooler with Dry Zone - Slate Grey"
ninja-fb151ukwh | Ninja | FB151UKWH | coolers | 179.99 | "FrostVault 50QT/47L Hard Cooler with Dry Zone - Cloud White" | "FB151UKWH Ninja FB151UKWH FrostVault 50QT/47L Hard Cooler with Dry Zone - Cloud White"
ninja-fb230ukgy | Ninja | FB230UKGY | coolers | 300 | "FrostVault 30QT/28L Wheeled Cooler with Dry Zone - Slate Grey" | "FB230UKGY Ninja FB230UKGY Ninja FrostVault 30QT/28L Wheeled Cooler with Dry Zone - Slate Grey"
ninja-fb230ukwh | Ninja | FB230UKWH | coolers | 300 | "FrostVault 30QT/28L Wheeled Cooler with Dry Zone - Cloud White" | "FB230UKWH Ninja FB230UKWH Ninja FrostVault 30QT/28L Wheeled Cooler with Dry Zone - Cloud White"
ninja-fb245ukgy | Ninja | FB245UKGY | coolers | 336 | "FrostVault 45QT/42L Wheeled Cooler with Dry Zone - Slate Grey" | "FB245UKGY Ninja FB245UKGY Ninja FrostVault 45QT/42L Wheeled Cooler with Dry Zone - Slate Grey"
ninja-fb245ukwh | Ninja | FB245UKWH | coolers | 336 | "FrostVault 45QT/42L Wheeled Cooler with Dry Zone - Cloud White" | "FB245UKWH Ninja FB245UKWH Ninja FrostVault 45QT/42L Wheeled Cooler with Dry Zone - Cloud White"
ninja-fb265euukgy | Ninja | FB265EUUKGY | coolers | 420 | "FrostVault 65QT/61L Wheeled Cooler with Dry Zone - Slate Grey" | "FB265EUUKGY Ninja FB265EUUKGY Ninja FrostVault 65QT/61L Wheeled Cooler with Dry Zone - Slate Grey"
ninja-fb265euukwh | Ninja | FB265EUUKWH | coolers | 420 | "FrostVault 65QT/61L Wheeled Cooler with Dry Zone - Cloud White" | "FB265EUUKWH Ninja FB265EUUKWH Ninja FrostVault 65QT/61L Wheeled Cooler with Dry Zone - Cloud White"
ninja-fs301uk | Ninja | FS301UK | air-fryers-multi-cookers | 299 | "SLUSHi Frozen Drink Maker - Arctic Blue- Grey" | "FS301UK NINJA SLUSHi Frozen Drink Maker - Arctic Blue- Grey"
ninja-mc1101uk | Ninja | MC1101UK | air-fryers-multi-cookers | 144 | "Foodi 8-in-1 6L PossibleCooker - Midnight Blue" | "MC1101UK Ninja MC1101UK Foodi 8-in-1 6L PossibleCooker - Midnight Blue"
ninja-og850uk | Ninja | OG850UK | grills-bbq | 480 | "Woodfire XL Electric BBQ Grill & Smoker - Black/Grey" | "OG850UK Ninja OG850UK Woodfire XL Electric BBQ Grill & Smoker - Black/Grey"
ninja-ol550uk | Ninja | OL550UK | air-fryers-multi-cookers | 199.99 | "6L 11-In-1 One Lid Multi Cooker - Black" | "OL550UK Ninja OL550UK 6L 11-In-1 One Lid Multi Cooker - Black"
ninja-on500uk | Ninja | ON500UK | air-fryers-multi-cookers | 276 | "Speedi 12-in-1 Air Fryer & Slow Cooker - Black - 5.7L" | "ON500UK Ninja ON500UK Ninja Speedi 12-in-1 Air Fryer & Slow Cooker - Black - 5.7L"
ninja-pg301uk | Ninja | PG301UK | grills-bbq | 1200 | "FlexFlame Gas BBQ & Outdoor Cooking System - Black" | "PG301UK Ninja PG301UK FlexFlame Gas BBQ & Outdoor Cooking System - Black"
ninja-pg301ukgn | Ninja | PG301UKGN | grills-bbq | 1200 | "FlexFlame Gas BBQ & Outdoor Cooking System - Green" | "PG301UKGN Ninja PG301UKGN FlexFlame Gas BBQ & Outdoor Cooking System - Green"
ninja-sfp700uk | Ninja | SFP700UK | air-fryers-multi-cookers | 300 | "Combi 12-In-1 Multi-Cooker Oven & Air Fryer - Grey" | "SFP700UK Ninja SFP700UK Combi 12-In-1 Multi-Cooker Oven & Air Fryer - Grey"
ninja-sp101uk | Ninja | SP101UK | air-fryers-multi-cookers | 149.99 | "Foodi SP101UK 10L 8-in-1 Flip Mini Oven - Silver/Black" | "SP101UK Ninja Foodi SP101UK 10L 8-in-1 Flip Mini Oven - Silver/Black"
ninja-st200uk | Ninja | ST200UK | toasters | 156 | "3-in-1 2 Slice Toaster - Grill and Panini Press - Black" | "ST200UK Ninja ST200UK 3-in-1 2 Slice Toaster - Grill and Panini Press - Black"
ninja-st202uk | Ninja | ST202UK | toasters | 180 | "3-in-1 2 Slice Toaster - Grill and Panini Press - Stainless Steel" | "ST202UK Ninja ST202UK 3-in-1 2 Slice Toaster - Grill and Panini Press - Stainless Steel"
ninja-tb301uk | Ninja | TB301UK | blenders | 204 | "Detect Duo Power Blender Pro + Single Serve - Black" | "TB301UK Ninja TB301UK Detect Duo Power Blender Pro + Single Serve - Black"
ninja-tb401uk | Ninja | TB401UK | blenders | 276 | "Detect Power Blender Pro with Blendsense Technology - Black" | "TB401UK Ninja TB401UK Detect Power Blender Pro with Blendsense Technology - Black"
nutribullet-02548 | Nutribullet | 02548 | blenders | 69.99 | "NB-101S 600 Series Blender - Black" | "02548 Nutribullet NB-101S 600 Series Blender - Black"
nutribullet-02924 | Nutribullet | 02924 | blenders | 39 | "Flex Portable Blender - Black" | "02924 Nutribullet 02924 Flex Portable Blender - Black"
