# slug | brand | code | assigned_leaf | price | title | description
bosch-00056317 | Bosch | 00056317 | cleaning-products | 6.76 | "Water Hardness Test Strip" | "Water Hardness Test Strip"
bosch-00312007 | Bosch | 00312007 | cleaning-products | 8.76 | "Conditioning Cloths: Stainless Steel Surfaces" | "Conditioning Cloths: Stainless Steel Surfaces"
bosch-00312111 | Bosch | 00312111 | cleaning-products | 16.7 | "Care Set for Heat Pump Dryer 4x125ml" | "Care Set for Heat Pump Dryer 4x125ml"
bosch-00312324 | Bosch | 00312324 | cleaning-products | 8.65 | "Cleaning Gel for Ovens (200 ml)" | "Cleaning Gel for Ovens (200 ml)"
bosch-00312327 | Bosch | 00312327 | cleaning-products | 20.45 | "Microfiber E-Cloth set for stainless steel and glass" | "Microfiber E-Cloth set for stainless steel and glass"
bosch-00312331 | Bosch | 00312331 | cleaning-products | 27.05 | "Quick descaler (4 Pack)" | "Quick descaler (4 Pack)"
bosch-00312361 | Bosch | 00312361 | cleaning-products | 9.59 | "Dishwasher Care (250ml)" | "Dishwasher Care (250ml)"
bosch-00312362 | Bosch | 00312362 | cleaning-products | 27.05 | "Dishwasher Cleaner Removes Grease and Limescale 250ml x 4" | "Dishwasher Cleaner Removes Grease and Limescale 250ml x 4"
bosch-00312474 | Bosch | 00312474 | cleaning-products | 23.02 | "Heat pump dryer care product for dryers with integrated care program" | "Heat pump dryer care product for dryers with integrated care program"
bosch-00312476 | Bosch | 00312476 | cleaning-products | 6.71 | "Special Fridge Cleaner (500ml)" | "Special Fridge Cleaner (500ml)"
bosch-00312477 | Bosch | 00312477 | cleaning-products | 10.91 | "Dishwasher Cleaner (4 Sachets)" | "Dishwasher Cleaner (4 Sachets)"
bosch-00312482 | Bosch | 00312482 | cleaning-products | no-price | "Cleaning gel spray for ovens" | "Cleaning gel spray for ovens"
bosch-00312485 | Bosch | 00312485 | cleaning-products | 29.41 | "Dishwasher Cleaner - Pack of 3" | "Dishwasher Cleaner - Pack of 3"
bosch-00312502 | Bosch | 00312502 | cleaning-products | 8.21 | "Cleaning tablets 10 tablets Suitable for all fully automatic coffee machines and thermo flasks" | "Cleaning tablets 10 tablets"
bosch-00312518 | Bosch | 00312518 | cleaning-products | 27.05 | "Machine cleaner Value pack: Washing machine cleaner replacement of 00311928" | "Machine cleaner Value pack: Washing machine cleaner"
bosch-00312524 | Bosch | 00312524 | cleaning-products | 10.3 | "Quick descaler Quick descaler for washing machines and dishwashers" | "Quick descaler Quick descaler for washing machines and dishwashers"
bosch-00312530 | Bosch | 00312530 | cleaning-products | 12.05 | "Descaling tablets suitable for coffee machines Region SÜD/WEST (de,en,ar,el,es,fr,hu,it,nl,pt,ru,tr,ukr)" | "Descaling tablets suitable for coffee machines"
bosch-00312612 | Bosch | 00312612 | cleaning-products | 15.26 | "Degreaser Degreaser for home appliances" | "Degreaser Degreaser for home appliances"
bosch-00350824 | Bosch | 00350824 | cooker-hood-accessories | 82.19 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-00351210 | Bosch | 00351210 | cooker-hood-accessories | 53.18 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-00352953 | Bosch | 00352953 | cooker-hood-accessories | 61.55 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-00353121 | Bosch | 00353121 | cooker-hood-accessories | 37.74 | "Standard Odour Filter" | "Standard Odour Filter"
bosch-00354434 | Bosch | 00354434 | cooker-hood-accessories | 67.06 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-00360732 | Bosch | 00360732 | cooker-hood-accessories | 44.22 | "Standard Odour Filter" | "Standard Odour Filter"
bosch-00361047 | Bosch | 00361047 | cooker-hood-accessories | 49.27 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-00434229 | Bosch | 00434229 | cooker-hood-accessories | 50.74 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-00457289 | Bosch | 00457289 | vacuum-accessories | 9.91 | "Vacuum cleaner bag Suitable for various models" | "Vacuum cleaner bag Suitable for various models"
bosch-00460008 | Bosch | 00460008 | cooker-hood-accessories | 41.09 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-00460028 | Bosch | 00460028 | cooker-hood-accessories | 52.79 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-00460120 | Bosch | 00460120 | cooker-hood-accessories | 63.5 | "Standard odor filter" | "Standard odor filter"
bosch-00460128 | Bosch | 00460128 | cooker-hood-accessories | 60.01 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-00460367 | Bosch | 00460367 | cooker-hood-accessories | 53.14 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-00460445 | Bosch | 00460445 | vacuum-accessories | 8.92 | "Vacuum cleaner bag" | "00460445 | BOSCH GB"
bosch-00460446 | Bosch | 00460446 | vacuum-accessories | 9.44 | "Vacuum cleaner dustbag" | "Vacuum cleaner dustbag"
bosch-00460450 | Bosch | 00460450 | cooker-hood-accessories | 60.61 | "Active Carbon Filter" | "Active Carbon Filter"
bosch-00460478 | Bosch | 00460478 | cooker-hood-accessories | 51.16 | "Standard Odour Filter" | "Standard Odour Filter"
bosch-00460652 | Bosch | 00460652 | vacuum-accessories | 10.16 | "Vacuum cleaner bag" | "00460652 | BOSCH GB"
bosch-00460736 | Bosch | 00460736 | cooker-hood-accessories | 44.2 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-00461422 | Bosch | 00461422 | cooker-hood-accessories | 54.3 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-00461506 | Bosch | 00461506 | vacuum-accessories | 7.9 | "Reusable fabric filter Permanent textile bag" | "Reusable fabric filter Permanent textile bag"
bosch-00461732 | Bosch | 00461732 | refrigeration-accessories | 13.56 | "Coffee Machine Water Filter" | "Coffee Machine Water Filter"
bosch-00461787 | Bosch | 00461787 | cleaning-products | 15.2 | "Special dishwashing detergents" | "Special dishwashing detergents"
bosch-00465577 | Bosch | 00465577 | cooker-hood-accessories | 43.6 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-00468264 | Bosch | 00468264 | vacuum-accessories | 15.1 | "Vacuum cleaner bag MegaAir SuperTEX - Type P" | "Vacuum cleaner bag MegaAir SuperTEX - Type P"
bosch-00468265 | Bosch | 00468265 | vacuum-accessories | 15.18 | "Vacuum cleaner bag MegaAir SuperTEX - Type K" | "Vacuum cleaner bag MegaAir SuperTEX - Type K"
bosch-00483179 | Bosch | 00483179 | vacuum-accessories | 13.67 | "Reusable fabric filter Suitable for various models" | "Reusable fabric filter Suitable for various models"
bosch-00488747 | Bosch | 00488747 | cooker-hood-accessories | 20.56 | "Standard odor filter" | "Standard odor filter"
bosch-00570709 | Bosch | 00570709 | cleaning-products | 13.66 | "E-Cloth: Stainless Steel Stainless steel cloth" | "E-Cloth: Stainless Steel Stainless steel cloth"
bosch-00571507 | Bosch | 00571507 | cleaning-products | 15.5 | "Dry Mop Head" | "Dry Mop Head"
bosch-00571508 | Bosch | 00571508 | cleaning-products | 15.5 | "Deep Clean Mop Head For use with E-cloth Mop" | "Deep Clean Mop Head For use with E-cloth Mop"
bosch-00571509 | Bosch | 00571509 | cleaning-products | 23.18 | "Dry and Deep Clean head pack for E-Cloth mop" | "Dry and Deep Clean head pack for E-Cloth mop"
bosch-00575393 | Bosch | 00575393 | cleaning-products | 9.28 | "Milk Tube Cleaning Brush" | "Milk Tube Cleaning Brush"
bosch-00576336 | Bosch | 00576336 | refrigeration-accessories | 143.8 | "Water Filters (3pcs - Value Pack)" | "Water Filters (3pcs - Value Pack)"
bosch-00576485 | Bosch | 00576485 | cooker-hood-accessories | 191.88 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-00602799 | Bosch | 00602799 | cooker-hood-accessories | 53 | "Standard odor filter" | "Standard odor filter"
bosch-00640565 | Bosch | 00640565 | refrigeration-accessories | 53.24 | "Internal Water Filter" | "Internal Water Filter"
bosch-00647277 | Bosch | 00647277 | cooker-hood-accessories | 32.51 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-00668491 | Bosch | 00668491 | cooker-hood-accessories | 58.92 | "Standard odor filter" | "Standard odor filter"
bosch-00744075 | Bosch | 00744075 | cooker-hood-accessories | 48.73 | "Standard Odour Filter" | "Standard Odour Filter"
bosch-00747472 | Bosch | 00747472 | cooker-hood-accessories | 156.94 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-00748732 | Bosch | 00748732 | cooker-hood-accessories | 106.01 | "Standard Odour Filter: 2-Pack" | "Standard Odour Filter: 2-Pack"
bosch-00796390 | Bosch | 00796390 | cooker-hood-accessories | 51 | "Cooker Hood Standard Odour Filter" | "Cooker Hood Standard Odour Filter"
bosch-11005734 | Bosch | 11005734 | cooker-hood-accessories | 23.98 | "Standard Odor Filter" | "Standard Odor Filter"
bosch-11032252 | Bosch | 11032252 | refrigeration-accessories | 43.91 | "Filter bypass cap and adapter part for refrigerator" | "Filter bypass cap and adapter part for refrigerator"
bosch-11032518 | Bosch | 11032518 | refrigeration-accessories | 58.87 | "UltraClarity Pro Water Filter Cartridge" | "UltraClarity Pro Water Filter Cartridge"
bosch-11034151 | Bosch | 11034151 | refrigeration-accessories | 52.15 | "UltraClarity Fridge Water Filter" | "UltraClarity Fridge Water Filter"
bosch-12009727 | Bosch | 12009727 | cooker-hood-accessories | 15.82 | "Standard Odour Filter" | "Standard Odour Filter"
bosch-17000977 | Bosch | 17000977 | cooker-hood-accessories | 316.97 | "Long Life odor filter (replacement) regenerative" | "Long Life odor filter (replacement) regenerative"
bosch-17001490 | Bosch | 17001490 | cleaning-products | 5.88 | "TASSIMO T-Disc (yellow)" | "TASSIMO T-Disc (yellow)"
bosch-17001491 | Bosch | 17001491 | cleaning-products | 5.29 | "Tassimo T-Disc (orange)" | "Tassimo T-Disc (orange)"
bosch-17002568 | Bosch | 17002568 | cooker-hood-accessories | 58.42 | "Standard odor filter (replacement)" | "Standard odor filter (replacement)"
bosch-17004084 | Bosch | 17004084 | cooker-hood-accessories | 78.91 | "Clean Air Plus Odor Filter" | "Clean Air Plus Odor Filter"
bosch-17004085 | Bosch | 17004085 | cooker-hood-accessories | 97.61 | "Clean Air Plus Odor Filter" | "Clean Air Plus Odor Filter"
bosch-17008835 | Bosch | 17008835 | refrigeration-accessories | 13.99 | "Water filter BRITA Intenza Water Filter for coffee machines Contents: 1x water filter" | "Water filter BRITA Intenza Water Filter for coffee machines"
bosch-dhz2701 | Bosch | DHZ2701 | cooker-hood-accessories | no-price | "Odor filter with activated carbon, replacement filter for recirculation mode" | "Odor filter with activated carbon, replacement filter for recirculation mode"
bosch-00184036 | Bosch | 00184036 | coffee-accessories | 4.43 | "Grid" | "Grid"
bosch-00312574 | Bosch | 00312574 | tassimo | 9.01 | "Descaling tablets Suitable for coffee machines and kettles and hot water dispensers Contents: 6 x 18g - Sufficient for 3 - 6 treatments" | "Descaling tablets Suitable for coffee machines and kettles and hot water dispensers"
bosch-00312575 | Bosch | 00312575 | tassimo | 16.08 | "Descaling tablets Suitable for coffee machines, kettles and hot water dispensers Contents: 12 x 18g - Sufficient for 3 - 6 treatments" | "Descaling tablets Suitable for coffee machines, kettles and hot water dispensers"
bosch-00461642 | Bosch | 00461642 | coffee-accessories | 41.18 | "Caffe Leone Super Crema Espresso Coffee Beans" | "Caffe Leone Super Crema Espresso Coffee Beans"
bosch-00461643 | Bosch | 00461643 | coffee-accessories | 54.5 | "Caffe Leone Oro Espresso Coffee Beans" | "Caffe Leone Oro Espresso Coffee Beans"
bosch-00645884 | Bosch | 00645884 | tassimo | 18.5 | "Water filter Tassimo Water Filter For TAS45… & TAS46…" | "Water filter Tassimo Water Filter"
bosch-00646860 | Bosch | 00646860 | coffee-accessories | 20.18 | "Glass coffee pot (1000W)" | "Glass coffee pot (1000W)"
bosch-00646862 | Bosch | 00646862 | coffee-accessories | 21.84 | "Glass coffee pot (800W)" | "Glass coffee pot (800W)"
bosch-00654026 | Bosch | 00654026 | coffee-accessories | 9.68 | "Suction hose Milk tube (370mm) with intake fitting" | "Suction hose Milk tube (370mm) with intake fitting"
bosch-00658595 | Bosch | 00658595 | coffee-accessories | 23.65 | "Glass jug in grey (TKA3A)" | "Glass jug in grey (TKA3A)"
bosch-11005967 | Bosch | 11005967 | coffee-accessories | 30.36 | "Stainless Steel Insulated Milk Container" | "Stainless Steel Insulated Milk Container"
bosch-11008061 | Bosch | 11008061 | coffee-accessories | 20.18 | "Glass jug" | "Glass jug"
bosch-ctl7181b0 | Bosch | CTL7181B0 | bean-to-cup | no-price | "Series 8 Built-in fully automatic coffee machine Black" | "Series 8 Built-in fully automatic coffee machine"
bosch-mkm6003ngb | Bosch | MKM6003NGB | coffee-grinders | 29.99 | "Coffee grinder Black" | "Coffee grinder"
bosch-tas102egb | Bosch | TAS102EGB | tassimo | 79.99 | "Hot drinks machine TASSIMO HAPPY friendly" | "Hot drinks machine TASSIMO HAPPY friendly"
bosch-tas109egb | Bosch | TAS109EGB | tassimo | 39.99 | "Hot drinks machine TASSIMO HAPPY friendly" | "Hot drinks machine TASSIMO HAPPY friendly"
bosch-tas1103gb | Bosch | TAS1103GB | tassimo | no-price | "Hot drinks machine TASSIMO STYLE" | "Hot drinks machine TASSIMO STYLE"
bosch-tas112egb | Bosch | TAS112EGB | tassimo | 39.99 | "Hot drinks machine TASSIMO STYLE friendly" | "Hot drinks machine TASSIMO STYLE friendly"
bosch-tas114egb | Bosch | TAS114EGB | tassimo | 39.99 | "Hot drinks machine TASSIMO STYLE friendly" | "Hot drinks machine TASSIMO STYLE friendly"
bosch-tas1402gb | Bosch | TAS1402GB | tassimo | no-price | "Hot drinks machine TASSIMO VIVY 2" | "Hot drinks machine TASSIMO VIVY 2"
bosch-tas1407gb | Bosch | TAS1407GB | tassimo | no-price | "Hot drinks machine TASSIMO VIVY 2" | "Hot drinks machine TASSIMO VIVY 2"
bosch-tas162egb | Bosch | TAS162EGB | tassimo | 89.99 | "Hot drinks machine TASSIMO FINESSE friendly" | "Hot drinks machine TASSIMO FINESSE friendly"
bosch-tas163egb | Bosch | TAS163EGB | tassimo | 89.99 | "Hot drinks machine TASSIMO FINESSE friendly" | "Hot drinks machine TASSIMO FINESSE friendly"
bosch-tas164egb | Bosch | TAS164EGB | tassimo | no-price | "Hot drinks machine TASSIMO FINESSE friendly" | "Hot drinks machine TASSIMO FINESSE friendly"
bosch-tas167pgb | Bosch | TAS167PGB | tassimo | 89.99 | "Hot drinks machine TASSIMO FINESSE" | "Hot drinks machine TASSIMO FINESSE"
bosch-tas3102gb | Bosch | TAS3102GB | tassimo | 39.99 | "Hot drinks machine TASSIMO SUNY" | "Hot drinks machine TASSIMO SUNY"
bosch-tas6502gb | Bosch | TAS6502GB | tassimo | 99.99 | "Hot drinks machine TASSIMO MY WAY 2" | "Hot drinks machine TASSIMO MY WAY 2"
bosch-tas6504gb | Bosch | TAS6504GB | tassimo | 99.99 | "Hot drinks machine TASSIMO MY WAY 2" | "Hot drinks machine TASSIMO MY WAY 2"
bosch-tas6507gb | Bosch | TAS6507GB | tassimo | 99.99 | "Hot drinks machine TASSIMO MY WAY 2" | "Hot drinks machine TASSIMO MY WAY 2"
bosch-tka2m113gb | Bosch | TKA2M113GB | filter-coffee | 39.99 | "Coffee maker MyMoment Black" | "Coffee maker MyMoment"
bosch-00032196 | Bosch | 00032196 | cooking-accessories | 10.66 | "Oven Lamp – E14, 25W" | "Oven Lamp – E14, 25W"
bosch-00057874 | Bosch | 00057874 | cooking-accessories | 10.66 | "Oven Bulb - E14, 40W" | "Oven Bulb - E14, 40W"
bosch-00114537 | Bosch | 00114537 | cooking-accessories | 54.29 | "Small Glass Tray" | "Small Glass Tray"
bosch-00157311 | Bosch | 00157311 | cooking-accessories | 16.06 | "Halogen Oven Lamp – G4, 10W" | "Halogen Oven Lamp – G4, 10W"
bosch-00174136 | Bosch | 00174136 | cooking-accessories | 19.84 | "Halogen lamp" | "Halogen lamp"
bosch-00174276 | Bosch | 00174276 | cooking-accessories | 34.69 | "Filter-grease for ovens" | "Filter-grease for ovens"
bosch-00187384 | Bosch | 00187384 | cooking-accessories | 20.47 | "Glass Light Cover" | "Glass Light Cover"
bosch-00209416 | Bosch | 00209416 | cooking-accessories | 14.54 | "Wire Shelf Insert" | "Wire Shelf Insert"
bosch-00249521 | Bosch | 00249521 | cooking-accessories | 230.66 | "Back wall panel" | "Back wall panel"
bosch-00249523 | Bosch | 00249523 | cooking-accessories | 191.03 | "Back wall panel" | "Back wall panel"
bosch-00284723 | Bosch | 00284723 | cooking-accessories | 37.33 | "Multi-use Wire Shelf" | "Multi-use Wire Shelf"
bosch-00284913 | Bosch | 00284913 | cooking-accessories | 22.97 | "Multi-use Wire Shelf" | "Multi-use Wire Shelf"
bosch-00291959 | Bosch | 00291959 | cooking-accessories | 30.16 | "Spit For ovens" | "Spit For ovens"
bosch-00298619 | Bosch | 00298619 | cooking-accessories | 52.8 | "Metal-mesh Grease Filter Replacement: 2-Pack" | "Metal-mesh Grease Filter Replacement: 2-Pack"
bosch-00358656 | Bosch | 00358656 | cooking-accessories | 108.19 | "Gastronorm dish 2/3 size - solid For steam ovens" | "Gastronorm dish 2/3 size - solid For steam ovens"
bosch-00359609 | Bosch | 00359609 | cooking-accessories | 33.98 | "Baking tray for ovens" | "Baking tray for ovens"
bosch-00434178 | Bosch | 00434178 | cooking-accessories | 40.7 | "Baking tray for ovens" | "Baking tray for ovens"
bosch-00434282 | Bosch | 00434282 | cooking-accessories | 23.41 | "Handle strip for extractor hood" | "Handle strip for extractor hood"
bosch-00434289 | Bosch | 00434289 | cooking-accessories | 91.13 | "Handle-strip for Extractor Hoods" | "Handle-strip for Extractor Hoods"
bosch-00435847 | Bosch | 00435847 | cooking-accessories | 57.64 | "Extra Deep Universal Pan" | "Extra Deep Universal Pan"
bosch-00436547 | Bosch | 00436547 | cooking-accessories | 49.54 | "Enamel Baking Tray" | "Enamel Baking Tray"
