# slug | brand | code | assigned_leaf | price | title | description
bosch-ktl15nweag | Bosch | KTL15NWEAG | fridges | 299 | "Series 2 Under counter fridge" | "Series 2 Under counter fridge"
bosch-00689956 | Bosch | 00689956 | laundry-accessories | 51 | "Built-under Kit: Washing Machines" | "Built-under Kit: Washing Machines"
bosch-00717524 | Bosch | 00717524 | laundry-accessories | 103.32 | "Connection set without drawer (silver-inox)" | "Connection set without drawer (silver-inox)"
bosch-00717525 | Bosch | 00717525 | laundry-accessories | 25.73 | "Connection set" | "Connection set"
bosch-11006122 | Bosch | 11006122 | laundry-accessories | 37.9 | "Large Wool Basket" | "Large Wool Basket"
bosch-11020645 | Bosch | 11020645 | laundry-accessories | 75.18 | "Height-adjustable Feet Accessory compl. Height adjustable 5 cm - for 90cm worktops" | "Height-adjustable Feet Accessory compl. Height adjustable 5 cm - for 90cm worktops"
bosch-12013784 | Bosch | 12013784 | laundry-accessories | 16.43 | "Hose extension inlet/outlet" | "Hose extension inlet/outlet"
bosch-17001528 | Bosch | 17001528 | laundry-accessories | 116.1 | "Stacking kit with pull-out" | "Stacking kit with pull-out"
bosch-17004057 | Bosch | 17004057 | laundry-accessories | 34.27 | "Extension for inlet Extension for cold water inlet / Aquastop 2500mm" | "Extension for inlet Extension for cold water inlet / Aquastop 2500mm"
bosch-17004087 | Bosch | 17004087 | laundry-accessories | 34.27 | "Extension for inlet WZ10131(00)- 2,5 m" | "Extension for inlet WZ10131(00)- 2,5 m"
bosch-17007417 | Bosch | 17007417 | laundry-accessories | 35.53 | "Stacking kit for washing machines and tumble dryers" | "Stacking kit for washing machines and tumble dryers"
bosch-17007748 | Bosch | 17007748 | laundry-accessories | 81.52 | "Connection set grey" | "Connection set grey"
bosch-17008114 | Bosch | 17008114 | laundry-accessories | 119.74 | "Stacking kit with pull-out" | "Stacking kit with pull-out"
bosch-wan28254gb | Bosch | WAN28254GB | washing-machines | 449 | "Series 4 Washing machine, front loader 8 kg max. 1400 rpm" | "Series 4 Washing machine, front loader"
bosch-wan28255gb | Bosch | WAN28255GB | washing-machines | 499 | "Series 4 Washing machine, front loader 9 kg max. 1400 rpm" | "Series 4 Washing machine, front loader"
bosch-wan28258gb | Bosch | WAN28258GB | washing-machines | 449 | "Series 4 Washing machine, front loader 8 kg max. 1400 rpm" | "Series 4 Washing machine, front loader"
bosch-wan28259gb | Bosch | WAN28259GB | washing-machines | 479 | "Series 4 Washing machine, front loader 9 kg max. 1400 rpm" | "Series 4 Washing machine, front loader"
bosch-wgb264a1gb | Bosch | WGB264A1GB | washing-machines | no-price | "Series 8 Washing machine, front loader 11 kg max. 1400 rpm" | "Series 8 Washing machine, front loader"
bosch-wge03408gb | Bosch | WGE03408GB | washing-machines | 399 | "Series 2 Washing machine, front loader 8 kg max. 1400 rpm" | "Series 2 Washing machine, front loader"
bosch-wgg24400gb | Bosch | WGG24400GB | washing-machines | 499 | "Series 6 Washing machine, front loader 9 kg max. 1400 rpm" | "Series 6 Washing machine, front loader"
bosch-wgg244zcgb | Bosch | WGG244ZCGB | washing-machines | no-price | "Series 6 Washing machine, front loader 9 kg max. 1400 rpm, Cast iron grey" | "Series 6 Washing machine, front loader"
bosch-wgg254f1gb | Bosch | WGG254F1GB | washing-machines | 699 | "Series 6 Washing machine, front loader 10 kg max. 1400 rpm" | "Series 6 Washing machine, front loader"
bosch-wgg254z1gb | Bosch | WGG254Z1GB | washing-machines | 649 | "Series 6 Washing machine, front loader 10 kg max. 1400 rpm" | "Series 6 Washing machine, front loader"
bosch-wgh254a0gb | Bosch | WGH254A0GB | washing-machines | 799 | "Series 6 Washing machine, front loader 10 kg max. 1400 rpm" | "Series 6 Washing machine, front loader"
bosch-wgh254argb | Bosch | WGH254ARGB | washing-machines | 799 | "Series 6 Washing machine, front loader 10 kg max. 1400 rpm, Cast iron grey" | "Series 6 Washing machine, front loader"
bosch-wgj25400gb | Bosch | WGJ25400GB | washing-machines | 599 | "Series 6 Washing machine, front loader 10 kg max. 1400 rpm" | "Series 6 Washing machine, front loader"
bosch-wiw28302gb | Bosch | WIW28302GB | washing-machines | no-price | "Series 6 Built-in washing machine 8 kg" | "Series 6 Built-in washing machine"
bosch-wiw28502gb | Bosch | WIW28502GB | washing-machines | no-price | "Series 8 Built-in washing machine 8 kg" | "Series 8 Built-in washing machine"
bosch-wkd28260gb | Bosch | WKD28260GB | washer-dryers | no-price | "Series 4 Washer dryer 8/5 kg" | "Series 4 Washer dryer"
bosch-wkd28490gb | Bosch | WKD28490GB | washer-dryers | no-price | "Series 6 Washer dryer 8/5 kg" | "Series 6 Washer dryer"
bosch-wmzmpf10 | Bosch | WMZMPF10 | laundry-accessories | 199 | "Microplastic filter" | "Microplastic filter"
bosch-wna134u8gb | Bosch | WNA134U8GB | washer-dryers | no-price | "Series 4 Washer dryer 8/5 kg max. 1400 rpm" | "Series 4 Washer dryer"
bosch-wna144v9gb | Bosch | WNA144V9GB | washer-dryers | no-price | "Series 4 Washer dryer 9/5 kg max. 1400 rpm" | "Series 4 Washer dryer"
bosch-wnc25410gb | Bosch | WNC25410GB | washer-dryers | 899 | "Series 8 Washer dryer 10.5/6 kg max. 1400 rpm" | "Series 8 Washer dryer"
bosch-wnc254argb | Bosch | WNC254ARGB | washer-dryers | 899 | "Series 8 Washer dryer 10.5/6 kg 1400 rpm" | "Series 8 Washer dryer"
bosch-wng25401gb | Bosch | WNG25401GB | washer-dryers | 849 | "Series 6 Washer dryer 10.5/6 kg max. 1400 rpm" | "Series 6 Washer dryer"
bosch-wng254r1gb | Bosch | WNG254R1GB | washer-dryers | 849 | "Series 6 Washer dryer 10.5/6 kg max. 1400 rpm, Cast iron grey" | "Series 6 Washer dryer"
bosch-wqg24500gb | Bosch | WQG24500GB | tumble-dryers | no-price | "Series 6 Heat pump tumble dryer 9 kg" | "Series 6 Heat pump tumble dryer"
bosch-wqg24502gb | Bosch | WQG24502GB | tumble-dryers | no-price | "Series 6 Heat pump tumble dryer 9 kg" | "Series 6 Heat pump tumble dryer"
bosch-wqg245r1gb | Bosch | WQG245R1GB | tumble-dryers | no-price | "Series 6 Heat pump tumble dryer 9 kg Cast iron grey" | "Series 6 Heat pump tumble dryer"
bosch-wqg245r2gb | Bosch | WQG245R2GB | tumble-dryers | no-price | "Series 6 Heat pump tumble dryer 9 kg Cast iron grey" | "Series 6 Heat pump tumble dryer"
bosch-wqh246d9gb | Bosch | WQH246D9GB | tumble-dryers | 849 | "Series 6 Heat pump tumble dryer 9 kg" | "Series 6 Heat pump tumble dryer"
bosch-wqh246drgb | Bosch | WQH246DRGB | tumble-dryers | 849 | "Series 6 Heat pump tumble dryer 9 kg Cast iron grey" | "Series 6 Heat pump tumble dryer"
bosch-wqh246drie | Bosch | WQH246DRIE | tumble-dryers | no-price | "Series 6 Heat pump tumble dryer 9 kg Cast iron grey" | "Series 6 Heat pump tumble dryer"
bosch-wrb247c9gb | Bosch | WRB247C9GB | tumble-dryers | 1199 | "Series 8 Heat pump tumble dryer 9 kg" | "Series 8 Heat pump tumble dryer"
bosch-wth85224gb | Bosch | WTH85224GB | tumble-dryers | no-price | "Series 4 Heat pump tumble dryer 8 kg" | "Series 4 Heat pump tumble dryer"
bosch-wth85225gb | Bosch | WTH85225GB | tumble-dryers | no-price | "Series 4 Heat pump tumble dryer 8 kg" | "Series 4 Heat pump tumble dryer"
bosch-wth85225ie | Bosch | WTH85225IE | tumble-dryers | no-price | "Series 4 Heat pump tumble dryer 8 kg" | "Series 4 Heat pump tumble dryer"
bosch-wth85226gb | Bosch | WTH85226GB | tumble-dryers | 629 | "Series 4 Heat pump tumble dryer 8 kg" | "Series 4 Heat pump tumble dryer"
bosch-wtz2800 | Bosch | WTZ2800 | laundry-accessories | no-price | "Stacking kit with pull-out" | "Stacking kit with pull-out"
bosch-00085035 | Bosch | 00085035 | kitchen-machine-accessories | 12.42 | "Disc-chips French fries disc Continuous shredder white" | "Disc-chips French fries disc"
bosch-maf462b0gb | Bosch | MAF462B0GB | air-fryers-multi-cookers | 79.99 | "Series 4 Air Fryer Black" | "Series 4 Air Fryer"
bosch-maf462b1gb | Bosch | MAF462B1GB | air-fryers-multi-cookers | 109.99 | "Series 4 Air Fryer Black" | "Series 4 Air Fryer"
bosch-maf671b0gb | Bosch | MAF671B0GB | air-fryers-multi-cookers | 89.99 | "Series 6 Air Fryer Black" | "Series 6 Air Fryer"
bosch-maf671b1gb | Bosch | MAF671B1GB | air-fryers-multi-cookers | 139.99 | "Series 6 Air Fryer Black" | "Series 6 Air Fryer"
bosch-mafd661b0g | Bosch | MAFD661B0G | air-fryers-multi-cookers | 159.99 | "Series 6 Double Stack Drawer Air Fryer Black" | "Series 6 Double Stack Drawer Air Fryer"
bosch-mafd661b4g | Bosch | MAFD661B4G | air-fryers-multi-cookers | no-price | "Series 6 Double Stack Drawer Air Fryer Black" | "Series 6 Double Stack Drawer Air Fryer"
bosch-mfq2420bgb | Bosch | MFQ2420BGB | food-prep | no-price | "Hand mixer CleverMixx 400 W Black, Brushed stainless steel" | "Hand mixer CleverMixx"
bosch-mfq3030gb | Bosch | MFQ3030GB | food-prep | 21.99 | "Hand mixer CleverMixx 350 W White, Red" | "Hand mixer CleverMixx"
bosch-mfq4020gb | Bosch | MFQ4020GB | food-prep | no-price | "Hand mixer Styline 450 W White, Anthracite" | "Hand mixer Styline"
bosch-mmb2111mg | Bosch | MMB2111MG | blenders | 59.99 | "Series 2 Blender VitaPower 450 W Stainless steel" | "Series 2 Blender VitaPower"
bosch-mmb2111sg | Bosch | MMB2111SG | blenders | 39.99 | "Series 2 Blender VitaPower 450 W Silver" | "Series 2 Blender VitaPower"
bosch-mmb6174sg | Bosch | MMB6174SG | blenders | no-price | "Series 4 Blender VitaPower 1200 W Silver" | "Series 4 Blender VitaPower"
bosch-msm2610bgb | Bosch | MSM2610BGB | blenders | 21.99 | "Hand blender CleverMixx 600 W Black, Anthracite" | "Hand blender CleverMixx"
