# slug | brand | code | assigned_leaf | price | title | description
hotpoint-hsicih4798bi | Hotpoint | HSICIH4798BI | integrated-dishwashers | 319.99 | "Built-in Slimline Dishwasher - E Energy - 10 Place - 8 Prog. - Button Control - Inverter Motor" | "HSICIH4798BI HOTPOINT Built-in Slimline Dishwasher - E Energy - 10 Place - 8 Prog. - Button Control - Inverter Motor"
lg-fdv709w | LG | FDV709W | tumble-dryers | 539 | "9kg Heat Pump Tumble Dryer - White" | "FDV709W LG FDV709W 9kg Heat Pump Tumble Dryer - White"
lg-fwy706wwtn1 | LG | FWY706WWTN1 | washer-dryers | 529 | "10kg/6kg 1400 Spin Washer Dryer - White" | "FWY706WWTN1 LG FWY706WWTN1 10kg/6kg 1400 Spin Washer Dryer - White"
lg-gbbs524cev | LG | GBBS524CEV | fridge-freezers | 599 | "59.7cm Frost Free Fridge Freezer - Essence Black Steel" | "GBBS524CEV LG GBBS524CEV 59.7cm Frost Free Fridge Freezer - Essence Black Steel"
lg-gbbsj10dpy | LG | GBBSJ10DPY | fridge-freezers | 719 | "59.5cm Total No Frost Fridge Freezer - Prime Silver" | "GBBSJ10DPY LG GBBSJ10DPY 59.5cm Total No Frost Fridge Freezer - Prime Silver"
lg-gbbw322cpy | LG | GBBW322CPY | freezers | 1439 | "69.7cm Total No Frost Freezer - Silver" | "GBBW322CPY LG GBBW322CPY 69.7cm Total No Frost Freezer - Silver"
lg-gmbs30sepy | LG | GMBS30SEPY | american-fridge-freezers | 1319 | "83.5cm 60/40 Total No Frost American Fridge Freezer - Silver" | "GMBS30SEPY LG GMBS30SEPY 83.5cm 60/40 Total No Frost American Fridge Freezer - Silver"
lg-gmm42abbeh | LG | GMM42ABBEH | american-fridge-freezers | 999 | "No Frost American Fridge Freezer - Matte Black" | "GMM42ABBEH LG GMM42ABBEH No Frost American Fridge Freezer - Matte Black"
lg-gslc40eppe | LG | GSLC40EPPE | american-fridge-freezers | 949 | "91.3cm 50/50 Total No Frost American Fridge Freezer - Matte Black" | "GSLC40EPPE LG GSLC40EPPE 91.3cm 50/50 Total No Frost American Fridge Freezer - Matte Black"
lg-gslc40pype | LG | GSLC40PYPE | american-fridge-freezers | 899 | "91.3cm American Fridge Freezer - Prime Silver GSLC40PYPE" | "GSLC40PYPE LG GSLC40PYPE 91.3cm American Fridge Freezer - Prime Silver GSLC40PYPE"
lg-gsxe91bsad | LG | GSXE91BSAD | american-fridge-freezers | 2009 | "Side By Side 91.3cm Non Plumbed - Fridge Freezer - Brushed Steel" | "GSXE91BSAD LG GSXE91BSAD Side By Side 91.3cm Non Plumbed - Fridge Freezer - Brushed Steel"
lg-gsxe91evad | LG | GSXE91EVAD | american-fridge-freezers | 2159 | "91.3cm Frost Free American Fridge Freezer - Essence Black Steel" | "GSXE91EVAD LG GSXE91EVAD 91.3cm Frost Free American Fridge Freezer - Essence Black Steel"
lg-mh6336gib | LG | MH6336GIB | microwaves | 99 | "23 Litres NeoChef Microwave Oven with Grill - Black" | "MH6336GIB LG MH6336GIB 23 Litres NeoChef Microwave Oven with Grill - Black"
lg-mh6535gis | LG | MH6535GIS | microwaves | 129 | "Microwave Oven with Grill and Touch Control Panel - Black" | "MH6535GIS LG MH6535GIS Microwave Oven with Grill and Touch Control Panel - Black"
lg-mj3965bps | LG | MJ3965BPS | microwaves | 359 | "39l 1100W Convection Microwave Oven with Touch Control Panel - Black" | "MJ3965BPS LG MJ3965BPS 39l 1100W Convection Microwave Oven with Touch Control Panel - Black"
lg-ms2032gas | LG | MS2032GAS | microwaves | 143 | "20l 700W NeoChef Microwave Oven with Touch Control Panel - Black" | "MS2032GAS LG MS2032GAS 20l 700W NeoChef Microwave Oven with Touch Control Panel - Black"
lg-ms2042d | LG | MS2042D | microwaves | 74 | "20 Litres Microwave - Black" | "MS2042D LG MS2042D 20 Litres Microwave - Black"
lg-oled48b56la-aek | LG | OLED48B56LA.AEK | televisions | 750 | "48\" 4K OLED Smart TV" | "OLED48B56LA.AEK \"LG OLED48B56LA.AEK 48\" 4K OLED Smart TV\""
lg-oled48c56lb-aek | LG | OLED48C56LB.AEK | televisions | 960 | "48\" 4K OLED Smart TV" | "OLED48C56LB.AEK \"LG OLED48C56LB.AEK 48\" 4K OLED Smart TV\""
lg-oled55c56lb-aek | LG | OLED55C56LB.AEK | televisions | 1142 | "55\" 4K OLED Smart TV" | "OLED55C56LB.AEK \"LG OLED55C56LB.AEK 55\" 4K OLED Smart TV\""
lg-oled55g54lw-aek | LG | OLED55G54LW.AEK | televisions | 1503 | "OLED evo AI G5 55\" 4K Smart TV" | "OLED55G54LW.AEK \"LG OLED55G54LW.AEK OLED evo AI G5 55\" 4K Smart TV\""
lg-oled55g56ls-aek | LG | OLED55G56LS.AEK | televisions | 1503 | "55\" 4K Smart TV" | "OLED55G56LS.AEK \"LG OLED55G56LS.AEK 55\" 4K Smart TV\""
