# slug | brand | code | assigned_leaf | price | title | description
nutribullet-02925 | Nutribullet | 02925 | blenders | 39 | "Flex Portable Blender - Forest Green" | "02925 Nutribullet 02925 Flex Portable Blender - Forest Green"
samsung-vs15a6031r4eu | Samsung | VS15A6031R4EU | cordless-vacuums | 189 | "VS15A6031R4/EU Jet 60 Turbo Cordless Stick Vacuum Cleaner - 40 Minutes Run Time - Teal Violet" | "VS15A6031R4EU Samsung VS15A6031R4/EU Jet 60 Turbo Cordless Stick Vacuum Cleaner - 40 Minutes Run Time - Teal Violet"
samsung-wd11dg5b15bbeu | Samsung | WD11DG5B15BBEU | washer-dryers | 996 | "11kg/6kg 1400 Spin Washer Dryer - Black" | "WD11DG5B15BBEU Samsung WD11DG5B15BBEU 11kg/6kg 1400 Spin Washer Dryer - Black"
samsung-wd11dg5b15beeu | Samsung | WD11DG5B15BEEU | washer-dryers | 960 | "11kg/6kg 1400 Spin Washer Dryer - White" | "WD11DG5B15BEEU Samsung WD11DG5B15BEEU 11kg/6kg 1400 Spin Washer Dryer - White"
samsung-wd80ta046beeu | Samsung | WD80TA046BEEU | washer-dryers | 636 | "WD80TA046BE/EU 8kg/5kg 1400 Spin Washer Dryer - White" | "WD80TA046BEEU Samsung WD80TA046BE/EU 8kg/5kg 1400 Spin Washer Dryer - White"
samsung-wd80ta046bxeu | Samsung | WD80TA046BXEU | washer-dryers | 449 | "WD80TA046BX/EU 8kg/5kg 1400 Spin Washer Dryer - Black" | "WD80TA046BXEU Samsung WD80TA046BX/EU 8kg/5kg 1400 Spin Washer Dryer - Black"
samsung-wd90dg5b15beeu | Samsung | WD90DG5B15BEEU | washer-dryers | 579 | "9kg/6kg 1400 Spin Washer Dryer - White" | "WD90DG5B15BEEU Samsung WD90DG5B15BEEU 9kg/6kg 1400 Spin Washer Dryer - White"
samsung-wd90hg5u34bxeu | Samsung | WD90HG5U34BXEU | washer-dryers | 756 | "9kg/6kg 1400 Spin Washer Dryer - Inox with black door" | "WD90HG5U34BXEU Samsung WD90HG5U34BXEU 9kg/6kg 1400 Spin Washer Dryer - Inox with black door"
samsung-wf90f09c4su1 | Samsung | WF90F09C4SU1 | washing-machines | 1200 | "9kg 1400 Spin Washing Machine - Silver" | "WF90F09C4SU1 Samsung WF90F09C4SU1 9kg 1400 Spin Washing Machine - Silver"
samsung-ww11db8b95gbu1 | Samsung | WW11DB8B95GBU1 | washing-machines | 1020 | "11kg 1400 Spin Washing Machine - Black" | "WW11DB8B95GBU1 Samsung WW11DB8B95GBU1 11kg 1400 Spin Washing Machine - Black"
samsung-ww11db8b95ghu1 | Samsung | WW11DB8B95GHU1 | washing-machines | 996 | "11kg 1400 Spin Washing Machine - White" | "WW11DB8B95GHU1 Samsung WW11DB8B95GHU1 11kg 1400 Spin Washing Machine - White"
samsung-ww11dg5b25abeu | Samsung | WW11DG5B25ABEU | washing-machines | 479 | "11kg 1400 Spin Washing Machine - Black" | "WW11DG5B25ABEU Samsung WW11DG5B25ABEU 11kg 1400 Spin Washing Machine - Black"
samsung-ww11dg5b25aeeu | Samsung | WW11DG5B25AEEU | washing-machines | 529 | "11kg 1400 Spin Washing Machine - White" | "WW11DG5B25AEEU Samsung WW11DG5B25AEEU 11kg 1400 Spin Washing Machine - White"
samsung-ww11dg6b25lbu1 | Samsung | WW11DG6B25LBU1 | washing-machines | 720 | "9kg 1400 Spin Washing Machine - Black" | "WW11DG6B25LBU1 Samsung WW11DG6B25LBU1 9kg 1400 Spin Washing Machine - Black"
samsung-ww11dg6b25leu1 | Samsung | WW11DG6B25LEU1 | washing-machines | 696 | "11kg 1400 spin - White" | "WW11DG6B25LEU1 Samsung WW11DG6B25LEU1 11kg 1400 spin - White"
samsung-ww11dg6b85lbu1 | Samsung | WW11DG6B85LBU1 | washing-machines | 696 | "11kg 1400 Spin Washing Machine - Black" | "WW11DG6B85LBU1 Samsung WW11DG6B85LBU1 11kg 1400 Spin Washing Machine - Black"
samsung-ww11dg6b85leu1 | Samsung | WW11DG6B85LEU1 | washing-machines | 660 | "11kg 1400 Spin Washing Machine - White" | "WW11DG6B85LEU1 Samsung WW11DG6B85LEU1 11kg 1400 Spin Washing Machine - White"
samsung-ww90cgc04dabeu | Samsung | WW90CGC04DABEU | washing-machines | 360 | "WiFi-enabled - 9kg - 1400 Spin - Washing Machine - Black - A Rated Energy" | "WW90CGC04DABEU Samsung - WiFi-enabled - 9kg - 1400 Spin - Washing Machine - Black - A Rated Energy"
samsung-ww90cgc04daeeu | Samsung | WW90CGC04DAEEU | washing-machines | 429 | "WiFi-enabled - 9kg - 1400 Spin - Washing Machine - White - A Rated Energy" | "WW90CGC04DAEEU Samsung - WiFi-enabled - 9kg - 1400 Spin - Washing Machine - White - A Rated Energy"
samsung-ww90dg6u85leu1 | Samsung | WW90DG6U85LEU1 | washing-machines | 449 | "9kg 1400 Spin Washing Machine - White" | "WW90DG6U85LEU1 Samsung WW90DG6U85LEU1 9kg 1400 Spin Washing Machine - White"
schonhaus-wmsf011014aw | Schonhaus | WMSF011014AW | washing-machines | 479.99 | "10kg 1400 Spin Washing Machine - White" | "WMSF011014AW Schonhaus WMSF011014AW 10kg 1400 Spin Washing Machine - White"
sensis-rfcmf0160es | Sensis | RFCMF0160ES | fridge-freezers | 469.99 | "Freestanding 59.5cm Fridge-Freezer Electronic Temp Control-Tempered Glass Shelves-NoFrost - E CCFM" | "RFCMF0160ES SENSIS Freestanding 59.5cm Fridge-Freezer Electronic Temp Control-Tempered Glass Shelves-NoFrost - E CCFM"
shark-sd200uk | Shark | SD200UK | floor-cleaners | 169 | "SteamPickUp Hard Floor Cleaner - White" | "SD200UK SHARK SD200UK SteamPickUp Hard Floor Cleaner - White"
shark-wd210uk | Shark | WD210UK | floor-cleaners | 199 | "HydroVac Cordless Hard Floor Cleaner - Charcoal Grey" | "WD210UK SHARK WD210UK HydroVac Cordless Hard Floor Cleaner - Charcoal Grey"
sharp-yc-pc322au-s | Sharp | YC-PC322AU-S | microwaves | 239 | "32 Litres Combination Microwave - Silver" | "YC-PC322AU-S Sharp YC-PC322AU-S 32 Litres Combination Microwave - Silver"
siemens-bi710c1b1b | Siemens | BI710C1B1B | warming-drawers | 599 | "IQ700 14cmWarmingDrawer BI710C1B1B - Touch control-4settings or 6 selectable temperature setting-Timer" | "BI710C1B1B SIEMENS IQ700 14cmWarmingDrawer BI710C1B1B - Touch control-4settings or 6 selectable temperature setting-Timer"
siemens-cm736g1b1b | Siemens | CM736G1B1B | microwaves | 999 | "IQ700 Combination Microwave Oven - Multifunction - 19 individual Oven / Grill and MW" | "CM736G1B1B SIEMENS IQ700 Combination Microwave Oven - Multifunction - 19 individual Oven / Grill and MW"
