# slug | brand | code | assigned_leaf | price | title | description
bosch-msm6b150 | Bosch | MSM6B150 | blenders | no-price | "Hand blender 300 W White, Grey" | "Hand blender"
bosch-00578863 | Bosch | 00578863 | vacuum-accessories | 8.44 | "Motor protective filter" | "Motor protective filter"
bosch-00579178 | Bosch | 00579178 | vacuum-accessories | 50.36 | "Electric nozzle" | "Electric nozzle"
bosch-00579182 | Bosch | 00579182 | vacuum-accessories | 43.64 | "AllFloor HighPower Brush for Bosch Athlet vacuum cleaner" | "AllFloor HighPower Brush for Bosch Athlet vacuum cleaner"
bosch-00624112 | Bosch | 00624112 | vacuum-accessories | 7.69 | "Filter Grid" | "Filter Grid"
bosch-00656674 | Bosch | 00656674 | vacuum-accessories | 90.78 | "Filter Filter complete; manual BGS5" | "Filter Filter complete; manual"
bosch-00703928 | Bosch | 00703928 | vacuum-accessories | 133.78 | "Active Carbon Filter" | "Active Carbon Filter"
bosch-00754163 | Bosch | 00754163 | vacuum-accessories | 46.18 | "Dust container" | "Dust container"
bosch-00754175 | Bosch | 00754175 | vacuum-accessories | 12.06 | "Filter foam" | "Filter foam"
bosch-00754176 | Bosch | 00754176 | vacuum-accessories | 14.57 | "Filter for Athlet vacuum" | "Filter for Athlet vacuum"
bosch-12024523 | Bosch | 12024523 | vacuum-accessories | 106.48 | "Power For All 18V - Fast Battery Charger" | "Bosch Power For All 18V - Fast Battery Charger"
bosch-17000301 | Bosch | 17000301 | vacuum-accessories | 5.33 | "Foam filter for vacuums" | "Foam filter for vacuums"
bosch-17000326 | Bosch | 17000326 | vacuum-accessories | 18.34 | "Vacuum cleaner handle" | "Vacuum cleaner handle"
bosch-17001102 | Bosch | 17001102 | vacuum-accessories | 10.33 | "Floor nozzle black; switchable; standard-connection; plastic sole; with wheels" | "Floor nozzle black; switchable; standard-connection;"
bosch-17001822 | Bosch | 17001822 | vacuum-accessories | 26.42 | "Accessory set for Bosch vacuum cleaners" | "Accessory set for Bosch vacuum cleaners"
bosch-17002172 | Bosch | 17002172 | vacuum-accessories | 75.52 | "Electric nozzle" | "Electric nozzle"
bosch-17003048 | Bosch | 17003048 | vacuum-accessories | 13.34 | "4 Type G Vacuum Cleaner Dust Bags" | "4 Type G Vacuum Cleaner Dust Bags"
bosch-17004820 | Bosch | 17004820 | vacuum-accessories | 59.23 | "Accessory set for Unlimited vaccuum cleaners" | "Accessory set for Unlimited vaccuum cleaners"
bosch-17006127 | Bosch | 17006127 | vacuum-accessories | 84.24 | "18V 3.0Ah Rechargeable Battery" | "Bosch 18V 3.0Ah Rechargeable Battery"
bosch-17006537 | Bosch | 17006537 | vacuum-accessories | 93.44 | "18V 4.0Ah Rechargeable Battery" | "Bosch 18V 4.0Ah Rechargeable Battery"
bosch-17006570 | Bosch | 17006570 | vacuum-accessories | 138.94 | "18V 5.0Ah Rechargeable Battery" | "Bosch 18V 5.0Ah Rechargeable Battery"
bosch-17007092 | Bosch | 17007092 | vacuum-accessories | 84.97 | "Battery 18V Power for All BOSCH Batteriepack Power For All 18 V, 2.5 Ah (Li-Ion) + Instruction Manual Asian" | "Battery 18V Power for All BOSCH Batteriepack Power For All 18 V, 2.5 Ah (Li-Ion)"
bosch-17007966 | Bosch | 17007966 | vacuum-accessories | 23.02 | "HEPA hygienic filter washable" | "HEPA hygienic filter washable"
bosch-17007967 | Bosch | 17007967 | vacuum-accessories | 25.73 | "High performance hygiene filter washable" | "High performance hygiene filter washable"
bosch-17007968 | Bosch | 17007968 | vacuum-accessories | 22.14 | "High performance hygiene filter washable" | "High performance hygiene filter washable"
bosch-17007969 | Bosch | 17007969 | vacuum-accessories | 15.29 | "High performance hygiene filter" | "High performance hygiene filter"
bosch-17007970 | Bosch | 17007970 | vacuum-accessories | 20.81 | "High performance hygiene filter washable" | "High performance hygiene filter washable"
bosch-17007971 | Bosch | 17007971 | vacuum-accessories | 25.44 | "Suction hose black/siiver" | "Suction hose black/siiver"
bosch-17008769 | Bosch | 17008769 | vacuum-accessories | 8.7 | "Motor protective filter washable black" | "Motor protective filter washable"
bosch-17009008 | Bosch | 17009008 | vacuum-accessories | 24.04 | "Air Filter For Spotless Vacuum (2 Pcs)" | "Air Filter For Spotless Vacuum (2 Pcs)"
bosch-17009039 | Bosch | 17009039 | vacuum-accessories | 41.84 | "Brush roller" | "Brush roller"
bosch-17009040 | Bosch | 17009040 | vacuum-accessories | 41.84 | "Vacuum Cleaner Bag (Antibacterial)" | "Vacuum Cleaner Bag (Antibacterial)"
bosch-17009041 | Bosch | 17009041 | vacuum-accessories | 47.08 | "Antibacterial Air filter ( 2 Pcs)" | "Antibacterial Air filter ( 2 Pcs)"
bosch-17009044 | Bosch | 17009044 | vacuum-accessories | 31.37 | "Cleaning Brush (Side 2PCS)" | "Cleaning Brush (Side 2PCS)"
bosch-bbh3230gb | Bosch | BBH3230GB | cordless-vacuums | 149.99 | "Series 4 Rechargeable vacuum cleaner Flexxo Gen2 23Vmax" | "Series 4 Rechargeable vacuum cleaner Flexxo Gen2 23Vmax"
bosch-bbh3285gb | Bosch | BBH3285GB | cordless-vacuums | 159.99 | "Series 4 Cordless vacuum cleaner Flexxo Gen2 28Vmax" | "Series 4 Cordless vacuum cleaner Flexxo Gen2 28Vmax"
bosch-bbs1041ggb | Bosch | BBS1041GGB | cordless-vacuums | 419.99 | "Cordless vacuum cleaner Unlimited 10 Graphite" | "Cordless vacuum cleaner Unlimited 10"
bosch-bbs611gb | Bosch | BBS611GB | cordless-vacuums | 299.99 | "Cordless vacuum cleaner Unlimited 6 Blue" | "Cordless vacuum cleaner Unlimited 6"
bosch-bbs931wgb | Bosch | BBS931WGB | cordless-vacuums | 449.99 | "Cordless vacuum cleaner Unlimited 9 White" | "Cordless vacuum cleaner Unlimited 9"
bosch-bchf216gb | Bosch | BCHF216GB | cordless-vacuums | 199.99 | "Series 2 Cordless vacuum cleaner Readyy'y 16Vmax" | "Series 2 Cordless vacuum cleaner Readyy'y 16Vmax"
bosch-bchf220gb | Bosch | BCHF220GB | cordless-vacuums | 189.99 | "Series 2 Cordless vacuum cleaner Readyy'y 20Vmax Black" | "Series 2 Cordless vacuum cleaner Readyy'y 20Vmax"
bosch-bcrdw3b | Bosch | BCRDW3B | robot-vacuums | 799.99 | "Robot vacuum cleaner Spotless Max" | "Robot vacuum cleaner Spotless Max"
bosch-bcrdw3bx | Bosch | BCRDW3BX | robot-vacuums | 1149.99 | "Robot vacuum cleaner Spotless Max Cam" | "Robot vacuum cleaner Spotless Max Cam"
bosch-bcs1051gb | Bosch | BCS1051GB | cordless-vacuums | 629.99 | "Cordless vacuum cleaner Unlimited 10 ProPower Black" | "Cordless vacuum cleaner Unlimited 10 ProPower"
bosch-bcs612gb | Bosch | BCS612GB | cordless-vacuums | no-price | "Cordless vacuum cleaner Unlimited 6 White" | "Cordless vacuum cleaner Unlimited 6"
bosch-bcs612lgb | Bosch | BCS612LGB | cordless-vacuums | 329.99 | "Cordless vacuum cleaner Unlimited 6 Blue" | "Cordless vacuum cleaner Unlimited 6"
bosch-bcs711gb | Bosch | BCS711GB | cordless-vacuums | 249.99 | "Cordless vacuum cleaner Unlimited 7 Graphite" | "Cordless vacuum cleaner Unlimited 7"
bosch-bcs711pgb | Bosch | BCS711PGB | cordless-vacuums | no-price | "Cordless vacuum cleaner Unlimited 7 Graphite" | "Cordless vacuum cleaner Unlimited 7"
bosch-bcs712bgb | Bosch | BCS712BGB | cordless-vacuums | 279.99 | "Cordless vacuum cleaner Unlimited 7 Black" | "Cordless vacuum cleaner Unlimited 7"
bosch-bcs712gb | Bosch | BCS712GB | cordless-vacuums | 399.99 | "Cordless vacuum cleaner Unlimited 7 White" | "Cordless vacuum cleaner Unlimited 7"
bosch-bcs71hyggb | Bosch | BCS71HYGGB | cordless-vacuums | 349.99 | "Cordless 2 in 1 Vacuum and Mop Unlimited 7 Aqua White" | "Cordless 2 in 1 Vacuum and Mop Unlimited 7 Aqua"
bosch-bcs71petgb | Bosch | BCS71PETGB | cordless-vacuums | 399.99 | "Cordless vacuum cleaner Unlimited 7 ProAnimal Red" | "Cordless vacuum cleaner Unlimited 7 ProAnimal"
bosch-bcs72hyggb | Bosch | BCS72HYGGB | cordless-vacuums | no-price | "Cordless 2 in 1 Vacuum and Mop Unlimited 7 Aqua White" | "Cordless 2 in 1 Vacuum and Mop Unlimited 7 Aqua"
bosch-bcs932bgb | Bosch | BCS932BGB | cordless-vacuums | 549.99 | "Cordless vacuum cleaner Unlimited 9 Black" | "Cordless vacuum cleaner Unlimited 9"
bosch-bgb41hyggb | Bosch | BGB41HYGGB | vacuum-cleaners | 109.99 | "Series 4 Bagged vacuum cleaner ProHygienic White" | "Series 4 Bagged vacuum cleaner ProHygienic"
bosch-bgbs2ba1gb | Bosch | BGBS2BA1GB | vacuum-cleaners | 129.99 | "Series 2 Bagged vacuum cleaner Black" | "Series 2 Bagged vacuum cleaner"
bosch-bgl38ba3gb | Bosch | BGL38BA3GB | vacuum-cleaners | 199.99 | "Series 4 Bagged vacuum cleaner Black" | "Series 4 Bagged vacuum cleaner"
bosch-bgl6pet1gb | Bosch | BGL6PET1GB | vacuum-cleaners | no-price | "Series 6 Bagged vacuum cleaner ProAnimal Red" | "Series 6 Bagged vacuum cleaner ProAnimal"
bosch-bgl6powgb | Bosch | BGL6POWGB | vacuum-cleaners | no-price | "Series 6 Bagged vacuum cleaner ProPower Black" | "Series 6 Bagged vacuum cleaner ProPower"
bosch-bgs05ba2gb | Bosch | BGS05BA2GB | vacuum-cleaners | 99.99 | "Series 2 Bagless vacuum cleaner Black" | "Series 2 Bagless vacuum cleaner"
bosch-bgs05bu2gb | Bosch | BGS05BU2GB | vacuum-cleaners | 79.99 | "Series 2 Bagless vacuum cleaner Turquoise" | "Series 2 Bagless vacuum cleaner"
bosch-bhzrcd | Bosch | BHZRCD | vacuum-accessories | no-price | "Floor Cleaning Solution" | "Floor Cleaning Solution"
bosch-bhzrdb | Bosch | BHZRDB | vacuum-accessories | no-price | "Dust bag service station Spotless" | "Dust bag service station Spotless"
bosch-bhzrmp3 | Bosch | BHZRMP3 | vacuum-accessories | no-price | "Spinning mops Spotless" | "Spinning mops Spotless"
bosch-bhzulfcn | Bosch | BHZULFCN | vacuum-accessories | no-price | "Long flexible crevice nozzle Unlimited 6 / 7 / 8" | "Long flexible crevice nozzle Unlimited 6 / 7 / 8"
bosch-bhzumpn | Bosch | BHZUMPN | vacuum-accessories | no-price | "Mini Power Nozzle Unlimited 6 / 7 / 8" | "Mini Power Nozzle Unlimited 6 / 7 / 8"
bosch-bhzungfeh | Bosch | BHZUNGFEH | vacuum-accessories | no-price | "Accessory hose Unlimited 9 / 10" | "Accessory hose Unlimited 9 / 10"
bosch-bhzungmp | Bosch | BHZUNGMP | vacuum-accessories | no-price | "Mini Power Nozzle Unlimited 9 / 10" | "Mini Power Nozzle Unlimited 9 / 10"
bosch-bhzungxxl | Bosch | BHZUNGXXL | vacuum-accessories | no-price | "XXL Upholstery Nozzle Unlimited 9 / 10" | "XXL Upholstery Nozzle Unlimited 9 / 10"
bosch-bhzupad1 | Bosch | BHZUPAD1 | vacuum-accessories | no-price | "Mopping Pads Unlimited 7 ProHygienic Aqua" | "Mopping Pads Unlimited 7 ProHygienic Aqua"
