# slug | brand | code | assigned_leaf | price | title | description
neff-00057874 | Neff | 00057874 | cooking-accessories | 10.66 | "Oven Bulb - E14, 40W" | "Oven Bulb - E14, 40W"
neff-00434289 | Neff | 00434289 | cooker-hood-accessories | 91.13 | "Handle-strip for Extractor Hoods" | "Handle-strip for Extractor Hoods"
neff-00435847 | Neff | 00435847 | cooking-accessories | 57.64 | "Extra Deep Universal Pan" | "Extra Deep Universal Pan"
neff-00436547 | Neff | 00436547 | cooking-accessories | 49.54 | "Enamel Baking Tray" | "Enamel Baking Tray"
neff-00437615 | Neff | 00437615 | cooking-accessories | 62.69 | "Extra Deep Enamel Drip Pan" | "Extra Deep Enamel Drip Pan"
neff-00441174 | Neff | 00441174 | cooking-accessories | 80.33 | "Glass Baking Tray" | "Glass Baking Tray"
neff-00449949 | Neff | 00449949 | cooking-accessories | 72.67 | "Extra-deep Enamel Pan" | "Extra-deep Enamel Pan"
neff-00452151 | Neff | 00452151 | cooker-hood-accessories | 24.64 | "Paper Grease Filter" | "Paper Grease Filter"
neff-00452152 | Neff | 00452152 | cooker-hood-accessories | 38.5 | "Grease Filter - Wider Size" | "Grease Filter - Wider Size"
neff-00460008 | Neff | 00460008 | cooker-hood-accessories | 41.09 | "Standard Odor Filter" | "Standard Odor Filter"
neff-00460028 | Neff | 00460028 | cooker-hood-accessories | 52.79 | "Standard Odor Filter" | "Standard Odor Filter"
neff-00460120 | Neff | 00460120 | cooker-hood-accessories | 63.5 | "Standard odor filter" | "Standard odor filter"
neff-00460128 | Neff | 00460128 | cooker-hood-accessories | 60.01 | "Standard Odor Filter" | "Standard Odor Filter"
neff-00460367 | Neff | 00460367 | cooker-hood-accessories | 53.14 | "Standard Odor Filter" | "Standard Odor Filter"
neff-00460450 | Neff | 00460450 | cooker-hood-accessories | 60.61 | "Active Carbon Filter" | "Active Carbon Filter"
neff-00460478 | Neff | 00460478 | cooker-hood-accessories | 51.16 | "Standard Odour Filter" | "Standard Odour Filter"
neff-00460736 | Neff | 00460736 | cooker-hood-accessories | 44.2 | "Standard Odor Filter" | "Standard Odor Filter"
neff-00461422 | Neff | 00461422 | cooker-hood-accessories | 54.3 | "Standard Odor Filter" | "Standard Odor Filter"
neff-00461642 | Neff | 00461642 | coffee-accessories | 41.18 | "Caffe Leone Super Crema Espresso Coffee Beans" | "Caffe Leone Super Crema Espresso Coffee Beans"
neff-00461643 | Neff | 00461643 | coffee-accessories | 54.5 | "Caffe Leone Oro Espresso Coffee Beans" | "Caffe Leone Oro Espresso Coffee Beans"
neff-00463892 | Neff | 00463892 | cooking-accessories | 158.22 | "Baking stone" | "Baking stone"
neff-00464339 | Neff | 00464339 | hob-accessories | 89.24 | "ALZA Paella Pan (30cm)" | "ALZA Paella Pan (30cm)"
neff-00465577 | Neff | 00465577 | cooker-hood-accessories | 43.6 | "Standard Odor Filter" | "Standard Odor Filter"
neff-00466164 | Neff | 00466164 | cooking-accessories | 20.16 | "Bake-O-Glide Roasting Pan Liner" | "Bake-O-Glide Roasting Pan Liner"
neff-00466165 | Neff | 00466165 | cooking-accessories | 35.28 | "Bake-O-Glide Multipurpose Roll" | "Bake-O-Glide Multipurpose Roll"
neff-00466166 | Neff | 00466166 | cooking-accessories | 14.44 | "Bake-O-Glide Oven Liner" | "Bake-O-Glide Oven Liner"
neff-00466546 | Neff | 00466546 | cooking-accessories | 15.54 | "Accessory holder Allows cleaning of universal pan in pyrolytic ovens IC5" | "Accessory holder Allows cleaning of universal pan in pyrolytic ovens IC5"
neff-00468419 | Neff | 00468419 | cooking-accessories | 63.32 | "Glass Tray" | "Glass Tray"
neff-00470759 | Neff | 00470759 | cooker-hood-accessories | 70.04 | "Handle-Strip for Extractor Hoods" | "Handle-Strip for Extractor Hoods"
neff-00472149 | Neff | 00472149 | cooking-accessories | 53.56 | "Glass Baking Tray" | "Glass Baking Tray"
neff-00476644 | Neff | 00476644 | cooking-accessories | 53.98 | "Stainless Steel Decor Strip" | "Stainless Steel Decor Strip"
neff-00476645 | Neff | 00476645 | cooking-accessories | 43.12 | "Design strip For built-in ovens and microwaves" | "Design strip For built-in ovens and microwaves"
neff-00479677 | Neff | 00479677 | cooking-accessories | 41.32 | "Multi-use Wire Shelf" | "Multi-use Wire Shelf"
neff-00573900 | Neff | 00573900 | cooking-accessories | 59.92 | "Gastronorm Ceramic Dish: 2/3" | "Gastronorm Ceramic Dish: 2/3"
neff-00574874 | Neff | 00574874 | cooking-accessories | 42.7 | "Multi-use Wire Shelf" | "Multi-use Wire Shelf"
neff-00574876 | Neff | 00574876 | cooking-accessories | 23.99 | "Oven Wire Rack 465 mm x 375 mm" | "Oven Wire Rack 465 mm x 375 mm"
neff-00574913 | Neff | 00574913 | cooking-accessories | 55.31 | "Universal Pan - Grey Enamel" | "Universal Pan - Grey Enamel"
neff-00575760 | Neff | 00575760 | cooking-accessories | 40.55 | "Glass roaster 400 x 250 x 60 mm (LxBxH)" | "Glass roaster 400 x 250 x 60 mm (LxBxH)"
neff-00576109 | Neff | 00576109 | cooking-accessories | 6 | "1lb Loaf Liner" | "1lb Loaf Liner"
neff-00576110 | Neff | 00576110 | cooking-accessories | 7.03 | "2lb Loaf Liner" | "2lb Loaf Liner"
neff-00576118 | Neff | 00576118 | cooking-accessories | 125.11 | "Steam Cooking Insert" | "Steam Cooking Insert"
neff-00576336 | Neff | 00576336 | refrigeration-accessories | 143.8 | "Water Filters (3pcs - Value Pack)" | "Water Filters (3pcs - Value Pack)"
neff-00576485 | Neff | 00576485 | cooker-hood-accessories | 191.88 | "Standard Odor Filter" | "Standard Odor Filter"
neff-00576887 | Neff | 00576887 | coffee-accessories | 37.03 | "La Caffaria Coffee 1kg" | "La Caffaria Coffee 1kg"
neff-00576894 | Neff | 00576894 | cooker-hood-accessories | 74.08 | "Standard Recirculation Kit" | "Standard Recirculation Kit"
