# slug | brand | code | assigned_leaf | price | title | description
bosch-hqa534bs3b | Bosch | HQA534BS3B | ovens | 399 | "Series 4 Built-in oven with added steam function 60 x 60 cm Stainless steel" | "Series 4 Built-in oven with added steam function"
bosch-00159645 | Bosch | 00159645 | refrigeration-accessories | 6.94 | "Lamp for refrigerators" | "Lamp for refrigerators"
bosch-00436162 | Bosch | 00436162 | refrigeration-accessories | 72.08 | "Bottle shelf for refrigerators" | "Bottle shelf for refrigerators"
bosch-00616742 | Bosch | 00616742 | refrigeration-accessories | 8.63 | "Active carbon filter" | "Active carbon filter"
bosch-00625761 | Bosch | 00625761 | refrigeration-accessories | 8.03 | "OSRAM Halogen lamp 30W, 230V, E14" | "OSRAM Halogen lamp 30W, 230V, E14"
bosch-00635924 | Bosch | 00635924 | refrigeration-accessories | 4.14 | "Egg Tray for Fridges" | "00635924 | BOSCH GB"
bosch-00648721 | Bosch | 00648721 | refrigeration-accessories | 38.62 | "Refridgerator Bottle Shelf" | "Refridgerator Bottle Shelf"
bosch-00665519 | Bosch | 00665519 | refrigeration-accessories | 12.96 | "Tray Fridge door middle shelf" | "Tray Fridge door middle shelf"
bosch-00674386 | Bosch | 00674386 | refrigeration-accessories | 52.42 | "Bottle shelf" | "Bottle shelf"
bosch-00711335 | Bosch | 00711335 | refrigeration-accessories | 414.13 | "Design door Stainless steel door right, with handle" | "Design door Stainless steel door right, with handle"
bosch-00712014 | Bosch | 00712014 | refrigeration-accessories | 49.19 | "Stacking kit" | "Stacking kit"
bosch-00717187 | Bosch | 00717187 | refrigeration-accessories | 190.68 | "Decor panel Coffee brown, 203x60x66" | "Decor panel Coffee brown, 203x60x66"
bosch-11008387 | Bosch | 11008387 | refrigeration-accessories | 4.58 | "Ice Cube Tray with Lid" | "Ice Cube Tray with Lid"
bosch-11010062 | Bosch | 11010062 | refrigeration-accessories | 11.18 | "Refridgerator Bottle Rack" | "Refridgerator Bottle Rack"
bosch-12028344 | Bosch | 12028344 | refrigeration-accessories | 9.14 | "Butter Dish" | "Butter Dish"
bosch-17006287 | Bosch | 17006287 | refrigeration-accessories | no-price | "Design door Clip Door KGN39 Perlgold, VarioStyle VZF 01040 deep mat, 203x60x66" | "Design door Clip Door KGN39 Perlgold, VarioStyle"
bosch-17007000 | Bosch | 17007000 | refrigeration-accessories | 17.44 | "Ethylene Absorber Refill Kit" | "Ethylene Absorber Refill Kit"
bosch-17007846 | Bosch | 17007846 | refrigeration-accessories | 22.12 | "Ethylene Absorber Set for Freestanding Fridges" | "Ethylene Absorber Set for Freestanding Fridges"
bosch-gin81vee0g | Bosch | GIN81VEE0G | freezers | 1099 | "Series 4 Built-in freezer 177.2 x 55.8 cm flat hinge" | "Series 4 Built-in freezer"
bosch-giv21afe0 | Bosch | GIV21AFE0 | freezers | no-price | "Series 4 built-in freezer 87.4 x 55.8 cm flat hinge" | "Series 4 built-in freezer"
bosch-gsn29vwevg | Bosch | GSN29VWEVG | freezers | no-price | "Series 4 Free-standing freezer 161 x 60 cm" | "Series 4 Free-standing freezer"
bosch-gsn33vwepg | Bosch | GSN33VWEPG | freezers | no-price | "Series 4 Free-standing freezer 176 x 60 cm" | "Series 4 Free-standing freezer"
bosch-gsn36vwepg | Bosch | GSN36VWEPG | freezers | no-price | "Series 4 Free-standing freezer 186 x 60 cm" | "Series 4 Free-standing freezer"
bosch-gtv15nwebg | Bosch | GTV15NWEBG | freezers | 299 | "Series 2 Under Counter Freezer 85 x 56 cm" | "Series 2 Under Counter Freezer"
bosch-gun21vfe0g | Bosch | GUN21VFE0G | freezers | 599 | "Series 4 Built-under freezer 82 x 59.8 cm flat hinge" | "Series 4 Built-under freezer"
bosch-kad93aierg | Bosch | KAD93AIERG | american-fridge-freezers | 1499 | "Series 6 American side by side 178.7 x 90.8 cm Stainless steel" | "Series 6 American side by side"
bosch-kbn96nse1g | Bosch | KBN96NSE1G | fridge-freezers | no-price | "Series 2 Built-in fridge-freezer with freezer at bottom 193.5 x 69.1 cm sliding hinge" | "Series 2 Built-in fridge-freezer with freezer at bottom"
bosch-kfd96apea | Bosch | KFD96APEA | fridge-freezers | 2199 | "Series 6 Multi Door American Fridge Freezer 183 x 90.5 cm Stainless steel" | "Series 6 Multi Door American Fridge Freezer"
bosch-kff96piep | Bosch | KFF96PIEP | fridge-freezers | 2499 | "Series 8 Multi Door American Fridge Freezer 183 x 90.5 cm Stainless steel" | "Series 8 Multi Door American Fridge Freezer"
bosch-kfi96apeag | Bosch | KFI96APEAG | fridge-freezers | 1999 | "Series 6 Multi Door American Fridge Freezer 183 x 90.5 cm Stainless steel" | "Series 6 Multi Door American Fridge Freezer"
bosch-kfn96apeag | Bosch | KFN96APEAG | fridge-freezers | 1299 | "Series 4 Multi Door American Fridge Freezer 183 x 90.5 cm Stainless steel" | "Series 4 Multi Door American Fridge Freezer"
bosch-kfn96vpeag | Bosch | KFN96VPEAG | fridge-freezers | 1399 | "Series 4 Multi Door American Fridge Freezer 183 x 90.5 cm Stainless steel" | "Series 4 Multi Door American Fridge Freezer"
bosch-kge49aicag | Bosch | KGE49AICAG | fridge-freezers | 749 | "Series 6 Free-standing fridge-freezer with freezer at bottom 201 x 70 cm Stainless steel" | "Series 6 Free-standing fridge-freezer with freezer at bottom"
bosch-kge49awcag | Bosch | KGE49AWCAG | fridge-freezers | 749 | "Series 6 Free-standing fridge-freezer with freezer at bottom 201 x 70 cm White" | "Series 6 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn27nbeag | Bosch | KGN27NBEAG | fridge-freezers | 449 | "Series 2 Free-standing fridge-freezer with freezer at bottom 182.4 x 55 cm Black" | "Series 2 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn27nleag | Bosch | KGN27NLEAG | fridge-freezers | 449 | "Series 2 Free-standing fridge-freezer with freezer at bottom 182.4 x 55 cm Stainless steel look" | "Series 2 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn27nweag | Bosch | KGN27NWEAG | fridge-freezers | 449 | "Series 2 Free-standing fridge-freezer with freezer at bottom 182.4 x 55 cm White" | "Series 2 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn33nlebg | Bosch | KGN33NLEBG | fridge-freezers | no-price | "Series 2 Free-standing fridge-freezer with freezer at bottom 176 x 60 cm Stainless steel look" | "Series 2 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn33nwebg | Bosch | KGN33NWEBG | fridge-freezers | 499 | "Series 2 Free-standing fridge-freezer with freezer at bottom 176 x 60 cm White, Total No Frost" | "Series 2 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn34nleag | Bosch | KGN34NLEAG | fridge-freezers | 549 | "Series 2 Free-standing fridge-freezer with freezer at bottom 186 x 60 cm Stainless steel look" | "Series 2 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn34nweag | Bosch | KGN34NWEAG | fridge-freezers | 549 | "Series 2 Free-standing fridge-freezer with freezer at bottom 186 x 60 cm White, Total No Frost" | "Series 2 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn362ldfg | Bosch | KGN362LDFG | fridge-freezers | 699 | "Series 4 Free-standing fridge-freezer with freezer at bottom 186 x 60 cm Stainless steel look" | "Series 4 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn362wdfg | Bosch | KGN362WDFG | fridge-freezers | no-price | "Series 4 Free-standing fridge-freezer with freezer at bottom 186 x 60 cm White, Total No Frost" | "Series 4 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn36nweag | Bosch | KGN36NWEAG | fridge-freezers | no-price | "Series 2 Free-standing fridge-freezer with freezer at bottom 186 x 60 cm White, Total No Frost" | "Series 2 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn392lagg | Bosch | KGN392LAGG | fridge-freezers | no-price | "Series 4 Free-standing fridge-freezer with freezer at bottom 203 x 60 cm Stainless steel look" | "Series 4 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn392lbfg | Bosch | KGN392LBFG | fridge-freezers | 899 | "Series 4 Free-standing fridge-freezer with freezer at bottom 203 x 60 cm Stainless steel look" | "Series 4 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn392ldfg | Bosch | KGN392LDFG | fridge-freezers | 799 | "Series 4 Free-standing fridge-freezer with freezer at bottom 203 x 60 cm Stainless steel look" | "Series 4 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn392lebg | Bosch | KGN392LEBG | fridge-freezers | no-price | "Series 4 Free-standing fridge-freezer with freezer at bottom 203 x 60 cm Stainless steel look" | "Series 4 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn392wdfg | Bosch | KGN392WDFG | fridge-freezers | no-price | "Series 4 Free-standing fridge-freezer with freezer at bottom 203 x 60 cm White, Total No Frost" | "Series 4 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn392webg | Bosch | KGN392WEBG | fridge-freezers | no-price | "Series 4 Free-standing fridge-freezer with freezer at bottom 203 x 60 cm White, Total No Frost" | "Series 4 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn39ocafg | Bosch | KGN39OCAFG | fridge-freezers | no-price | "Series 4 Free-standing fridge-freezer with freezer at bottom 203 x 60 cm Cast Iron, Green Collection, Total No Frost" | "Series 4 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn492ldfg | Bosch | KGN492LDFG | fridge-freezers | no-price | "Series 4 Free-standing fridge-freezer with freezer at bottom 203 x 70 cm Stainless steel look" | "Series 4 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn49xlea | Bosch | KGN49XLEA | fridge-freezers | no-price | "Series 4 Free-standing fridge-freezer with freezer at bottom 203 x 70 cm Stainless steel look" | "Series 4 Free-standing fridge-freezer with freezer at bottom"
bosch-kgn86vieag | Bosch | KGN86VIEAG | fridge-freezers | no-price | "Series 4 Free-standing fridge-freezer with freezer at bottom 186 x 86 cm Stainless steel" | "Series 4 Free-standing fridge-freezer with freezer at bottom"
bosch-kgv336weag | Bosch | KGV336WEAG | fridge-freezers | no-price | "Series 4 Free-standing fridge-freezer with freezer at bottom 176 x 60 cm White" | "Series 4 Free-standing fridge-freezer with freezer at bottom"
bosch-kgv33vleag | Bosch | KGV33VLEAG | fridge-freezers | no-price | "Series 4 Free-standing fridge-freezer with freezer at bottom 176 x 60 cm Stainless steel look" | "Series 4 Free-standing fridge-freezer with freezer at bottom"
bosch-kin85nfe0g | Bosch | KIN85NFE0G | fridge-freezers | 729 | "Series 2 Built-in fridge-freezer with freezer at bottom 177.2 x 54.1 cm flat hinge" | "Series 2 Built-in fridge-freezer with freezer at bottom"
bosch-kin85nse0g | Bosch | KIN85NSE0G | fridge-freezers | 699 | "Series 2 Built-in fridge-freezer with freezer at bottom 177.2 x 54.1 cm sliding hinge" | "Series 2 Built-in fridge-freezer with freezer at bottom"
bosch-kin86nfe0g | Bosch | KIN86NFE0G | fridge-freezers | 779 | "Series 2 Built-in fridge-freezer with freezer at bottom 177.2 x 54.1 cm flat hinge" | "Series 2 Built-in fridge-freezer with freezer at bottom"
bosch-kin86nse0g | Bosch | KIN86NSE0G | fridge-freezers | 749 | "Series 2 Built-in fridge-freezer with freezer at bottom 177.2 x 54.1 cm sliding hinge" | "Series 2 Built-in fridge-freezer with freezer at bottom"
bosch-kin86vfe0g | Bosch | KIN86VFE0G | fridge-freezers | 879 | "Series 4 Built-in fridge-freezer with freezer at bottom 177.2 x 54.1 cm flat hinge" | "Series 4 Built-in fridge-freezer with freezer at bottom"
bosch-kin86vse0g | Bosch | KIN86VSE0G | fridge-freezers | 849 | "Series 4 Built-in fridge-freezer with freezer at bottom 177.2 x 54.1 cm sliding hinge" | "Series 4 Built-in fridge-freezer with freezer at bottom"
bosch-kin96nse0g | Bosch | KIN96NSE0G | fridge-freezers | 899 | "Series 2 Built-in fridge-freezer with freezer at bottom 193.5 x 54.1 cm sliding hinge" | "Series 2 Built-in fridge-freezer with freezer at bottom"
bosch-kin96vfd0g | Bosch | KIN96VFD0G | fridge-freezers | no-price | "Series 4 Built-in fridge-freezer with freezer at bottom 193.5 x 55.8 cm flat hinge" | "Series 4 Built-in fridge-freezer with freezer at bottom"
bosch-kir21nse0 | Bosch | KIR21NSE0 | fridges | no-price | "Series 2 Built-in fridge 87.4 x 54.1 cm sliding hinge" | "Series 2 Built-in fridge"
bosch-kir81add0g | Bosch | KIR81ADD0G | fridges | no-price | "Series 6 Built-in fridge 177.2 x 55.8 cm soft close flat hinge" | "Series 6 Built-in fridge"
bosch-kir81nse0g | Bosch | KIR81NSE0G | fridges | no-price | "Series 2 Built-in fridge 177.2 x 54.1 cm sliding hinge" | "Series 2 Built-in fridge"
bosch-kir81vfe0g | Bosch | KIR81VFE0G | fridges | 999 | "Series 4 Built-in fridge 177.2 x 54.1 cm flat hinge" | "Series 4 Built-in fridge"
bosch-kiv86vse0g | Bosch | KIV86VSE0G | fridge-freezers | no-price | "Series 4 Built-in fridge-freezer with freezer at bottom 177.2 x 54.1 cm sliding hinge" | "Series 4 Built-in fridge-freezer with freezer at bottom"
bosch-kiv87nse0g | Bosch | KIV87NSE0G | fridge-freezers | 699 | "Series 2 Built-in fridge-freezer with freezer at bottom 177.2 x 54.1 cm sliding hinge" | "Series 2 Built-in fridge-freezer with freezer at bottom"
bosch-ksv36vlep | Bosch | KSV36VLEP | fridges | 699 | "Series 4 Free-standing fridge 186 x 60 cm Stainless steel look" | "Series 4 Free-standing fridge"
bosch-ksv36vwepg | Bosch | KSV36VWEPG | fridges | no-price | "Series 4 Free-standing fridge 186 x 60 cm" | "Series 4 Free-standing fridge"
bosch-ksz39al00 | Bosch | KSZ39AL00 | refrigeration-accessories | no-price | "Connection set" | "Connection set"
