# slug | brand | code | assigned_leaf | price | title | description
aeg-ccx6530acm | AEG | CCX6530ACM | cookers | 589.99 | "60cm Double Oven Electric Cooker with Ceramic Hob - Stainless Steel" | "CCX6530ACM AEG CCX6530ACM 60cm Double Oven Electric Cooker with Ceramic Hob - Stainless Steel"
aeg-gx7pb63fsb | AEG | GX7PB63FSB | ovens | 1140 | "59.6cm Built In Electric Single Oven with PizzaExpert - Gloss Black with Steel Trim" | "GX7PB63FSB AEG GX7PB63FSB 59.6cm Built In Electric Single Oven with PizzaExpert - Gloss Black with Steel Trim"
aeg-lfr62144b | AEG | LFR62144B | washing-machines | 660 | "10kg 1400 Spin Washing Machine - White" | "LFR62144B AEG LFR62144B 10kg 1400 Spin Washing Machine - White"
aeg-lfr62944b | AEG | LFR62944B | washing-machines | 720 | "9kg 1400 Spin Washing Machine - White" | "LFR62944B AEG LFR62944B 9kg 1400 Spin Washing Machine - White"
aeg-lfsr72944b | AEG | LFSR72944B | washing-machines | 900 | "9kg 1400 Spin Washing Machine - White" | "LFSR72944B AEG LFSR72944B 9kg 1400 Spin Washing Machine - White"
aeg-lwr72956m4b | AEG | LWR72956M4B | washer-dryers | 840 | "9kg/5kg 1600 Spin Washer Dryer - White" | "LWR72956M4B AEG LWR72956M4B 9kg/5kg 1600 Spin Washer Dryer - White"
aeg-nab7n181ec | AEG | NAB7N181EC | freezers | 959 | "Fully Integrated Upright No Frost Freezer - Fixed Hinge" | "NAB7N181EC AEG NAB7N181EC Fully Integrated Upright No Frost Freezer - Fixed Hinge"
aeg-ou5cp40m | AEG | OU5CP40M | ovens | 519 | "61L Double Electric Oven - Stainless Steel" | "OU5CP40M AEG OU5CP40M 61L Double Electric Oven - Stainless Steel"
aeg-ou5np20b | AEG | OU5NP20B | ovens | 449 | "66L Double Built In Oven - Black" | "OU5NP20B AEG OU5NP20B 66L Double Built In Oven - Black"
aeg-so64ib00fb | AEG | SO64IB00FB | hobs | 456 | "59cm Induction Hob - Black" | "SO64IB00FB AEG SO64IB00FB 59cm Induction Hob - Black"
aeg-so84ia00fb | AEG | SO84IA00FB | hobs | 840 | "78cm Induction Hob - Black" | "SO84IA00FB AEG SO84IA00FB 78cm Induction Hob - Black"
aeg-to64ia00cb | AEG | TO64IA00CB | hobs | 360 | "58cm Induction Hob - Black" | "TO64IA00CB AEG TO64IA00CB 58cm Induction Hob - Black"
aeg-tr719a4b | AEG | TR719A4B | tumble-dryers | 649 | "7000 SensiDry® Heat Pump 9 kg Tumble Dryer" | "TR719A4B 7000 SensiDry® Heat Pump 9 kg Tumble Dryer"
aeg-tr729a4b | AEG | TR729A4B | tumble-dryers | 780 | "9kg Heat Pump Tumble Dryer - White" | "TR729A4B AEG TR729A4B 9kg Heat Pump Tumble Dryer - White"
beko-bm3wt3941w | Beko | BM3WT3941W | washing-machines | 289.99 | "9kg 1400 Spin Washing Machine - White" | "BM3WT3941W Beko BM3WT3941W 9kg 1400 Spin Washing Machine - White"
beko-ccfm4582s | Beko | CCFM4582S | fridge-freezers | 379 | "54cm - 50/50 - Frost Free Fridge Freezer - Silver - 270L - E rated" | "CCFM4582S Beko - 54cm - 50/50 - Frost Free Fridge Freezer - Silver - 270L - E rated"
beko-ccfm4582w | Beko | CCFM4582W | fridge-freezers | 359 | "Freestanding Fridge Freezer - E Energy Rated - Frost Free - White - H182.4xW55.0xD57.5cm" | "CCFM4582W BEKO Freestanding Fridge Freezer - E Energy Rated - Frost Free - White - H182.4xW55.0xD57.5cm"
beko-ceg7304x | Beko | CEG7304X | bean-to-cup | 300 | "Bean to Cup Fully Automatic Espresso Machine with Integrated Milk Jug - Silver" | "CEG7304X Beko CEG7304X Bean to Cup Fully Automatic Espresso Machine with Integrated Milk Jug - Silver"
beko-cep5304x | Beko | CEP5304X | bean-to-cup | 111 | "CaffeExperto CEP5304X Manual Espresso with Steam Wand - Black" | "CEP5304X Beko CaffeExperto CEP5304X Manual Espresso with Steam Wand - Black"
beko-cimd91b | Beko | CIMD91B | ovens | 299 | "59.4cm Built In Electric Single Oven - Black" | "CIMD91B Beko CIMD91B 59.4cm Built In Electric Single Oven - Black"
beko-cne4581vw | Beko | CNE4581VW | fridge-freezers | 339 | "50/50 No Frost Fridge Freezer - White" | "CNE4581VW Beko CNE4581VW 50/50 No Frost Fridge Freezer - White"
beko-cng4692vw | Beko | CNG4692VW | fridge-freezers | 489 | "59.7cm 50/50 Total No Frost Fridge Freezer - White" | "CNG4692VW Beko CNG4692VW 59.7cm 50/50 Total No Frost Fridge Freezer - White"
beko-dtkce90021w | Beko | DTKCE90021W | tumble-dryers | 279 | "9kg Condenser Tumble Dryer with Sensor Programmes - White" | "DTKCE90021W Beko DTKCE90021W 9kg Condenser Tumble Dryer with Sensor Programmes - White"
beko-edc6731k | Beko | EDC6731K | cookers | 499 | "60cm Double Oven Electric Cooker with Vitroceramic Hob - Black" | "EDC6731K Beko EDC6731K 60cm Double Oven Electric Cooker with Vitroceramic Hob - Black"
beko-edc6731s | Beko | EDC6731S | cookers | 459 | "60cm Double Oven Electric Cooker with Vitroceramic Hob - Silver" | "EDC6731S Beko EDC6731S 60cm Double Oven Electric Cooker with Vitroceramic Hob - Silver"
beko-edc6731w | Beko | EDC6731W | cookers | 459 | "60cm Double Oven Electric Cooker with Vitroceramic Hob - White" | "EDC6731W Beko EDC6731W 60cm Double Oven Electric Cooker with Vitroceramic Hob - White"
beko-fne4545w | Beko | FNE4545W | freezers | 399 | "Freestanding Tall Frost Free Freezer - White" | "FNE4545W Beko FNE4545W Freestanding Tall Frost Free Freezer - White"
beko-hiaw75225sxe | Beko | HIAW75225SXE | hobs | 229 | "75cm Gas Hob with Front Knob Controls - Stainless Steel" | "HIAW75225SXE Beko HIAW75225SXE 75cm Gas Hob with Front Knob Controls - Stainless Steel"
beko-hixi84700up | Beko | HIXI84700UP | cooker-hoods | 1099 | "82cm Hob Extractor - Black" | "HIXI84700UP Beko HIXI84700UP 82cm Hob Extractor - Black"
blomberg-kne4554evi | Blomberg | KNE4554EVI | fridge-freezers | 599.99 | "INTEGRATED Fridge-Freezer - 7030 Split - Frost Free - E Energy - Slider Fitting - 3+2 Year Warranty" | "KNE4554EVI BLOMBERG INTEGRATED Fridge-Freezer - 7030 Split - Frost Free - E Energy - Slider Fitting - 3+2 Year Warranty"
blomberg-ldv63440 | Blomberg | LDV63440 | integrated-dishwashers | 399 | "Integrated Dishwasher - 16 Place Settings - C Energy (42dB) - Auto Door Open - 3+2 Year" | "LDV63440 BLOMBERG Integrated Dishwasher - 16 Place Settings - C Energy (42dB) - Auto Door Open - 3+2 Year"
