# slug | brand | code | assigned_leaf | price | title | description
haier-hw110-bd14397uu | Haier | HW110-BD14397UU | washing-machines | 999 | "HW110-BD14397UUK 11kg 1400 Spin Washing Machine - White" | "HW110-BD14397UU Haier HW110-BD14397UUK 11kg 1400 Spin Washing Machine - White"
hisense-hv16auk | Hisense | HV16AUK | integrated-dishwashers | 429 | "Full-Size Fully Integrated Dishwasher - 16 Place Settings" | "HV16AUK Hisense HV16AUK Full-Size Fully Integrated Dishwasher - 16 Place Settings"
hisense-rb327n4bbe | Hisense | RB327N4BBE | fridge-freezers | 399 | "55cm 50/50 Total No Frost Fridge Freezer - Black Steel" | "RB327N4BBE Hisense RB327N4BBE 55cm 50/50 Total No Frost Fridge Freezer - Black Steel"
hisense-rb327n4bce | Hisense | RB327N4BCE | fridge-freezers | 399 | "50/50 Total No Frost Fridge Freezer - Stainless Steel" | "RB327N4BCE Hisense RB327N4BCE 50/50 Total No Frost Fridge Freezer - Stainless Steel"
hisense-rb327n4wwe | Hisense | RB327N4WWE | fridge-freezers | 319 | "50/50 Total No Frost Fridge Freezer - White" | "RB327N4WWE Hisense RB327N4WWE 50/50 Total No Frost Fridge Freezer - White"
hisense-rb5b250sswc1 | Hisense | RB5B250SSWC1 | fridge-freezers | 899 | "Integrated 6040 Total No Frost Smart Fridge Freezer C energy" | "RB5B250SSWC1 Hisense RB5B250SSWC1 Integrated 6040 Total No Frost Smart Fridge Freezer C energy"
hisense-wf1q1041bw | Hisense | WF1Q1041BW | washing-machines | 279 | "10kg 1400 Spin, Steam Washing Machine - White" | "WF1Q1041BW Hisense WF1Q1041BW 10kg 1400 Spin, Steam Washing Machine - White"
hisense-wf1q8041bw | Hisense | WF1Q8041BW | washing-machines | 329 | "8kg 1400 Spin, Steam Washing Machine - White" | "WF1Q8041BW Hisense WF1Q8041BW 8kg 1400 Spin, Steam Washing Machine - White"
hisense-wf3s1043bb3 | Hisense | WF3S1043BB3 | washing-machines | 349 | "10.5kg 1400 Spin Steam Washing Machine - Black" | "WF3S1043BB3 Hisense WF3S1043BB3 10.5kg 1400 Spin Steam Washing Machine - Black"
hisense-wf3s1043bw3 | Hisense | WF3S1043BW3 | washing-machines | 299 | "10.5kg 1400 Spin Washing Machine - White" | "WF3S1043BW3 Hisense WF3S1043BW3 10.5kg 1400 Spin Washing Machine - White"
hisense-wf3s8043bb3 | Hisense | WF3S8043BB3 | washing-machines | 279 | "8kg 1400 Spin Washing Machine - Black" | "WF3S8043BB3 Hisense WF3S8043BB3 8kg 1400 Spin Washing Machine - Black"
hoover-bh4s696m6dr9 | Hoover | BH4S696M6DR9 | washer-dryers | 449.99 | "Integrated Washer-Dryer - 9Kg Wash/6Kg Dry - 1600 Spin - SteamFunction - Start Delay" | "BH4S696M6DR9 HOOVER Integrated Washer-Dryer - 9Kg Wash/6Kg Dry - 1600 Spin - SteamFunction - Start Delay"
hoover-hvt3cleckihw | Hoover | HVT3CLECKIHW | fridge-freezers | 319.99 | "Freestanding Fridge-Freezer - 55cm Wide - 176cm Tall - Static Defrost - E Energy - WHITE" | "HVT3CLECKIHW HOOVER Freestanding Fridge-Freezer - 55cm Wide - 176cm Tall - Static Defrost - E Energy - WHITE"
hotpoint-chd93mwwsuk | Hotpoint | CHD93MWWSUK | tumble-dryers | 449.99 | "9kg Heat Pump Tumble Dryer with Pet Hair Care - White" | "CHD93MWWSUK Hotpoint CHD93MWWSUK 9kg Heat Pump Tumble Dryer with Pet Hair Care - White"
hotpoint-chd93mwwuk | Hotpoint | CHD93MWWUK | tumble-dryers | 389 | "9kg Heat Pump Tumble Dryer with PetHairCare - White" | "CHD93MWWUK Hotpoint CHD93MWWUK 9kg Heat Pump Tumble Dryer with PetHairCare - White"
hotpoint-chdc82wwgduk | Hotpoint | CHDC82WWGDUK | tumble-dryers | 279 | "8kg Condenser Tumble Dryer" | "CHDC82WWGDUK Hotpoint CHDC82WWGDUK 8kg Condenser Tumble Dryer"
hotpoint-dih10db | Hotpoint | DIH10DB | ovens | 379 | "DIH 10D B 59.4cm Built In Electric Fan Double Oven - Black" | "DIH10DB Hotpoint DIH 10D B 59.4cm Built In Electric Fan Double Oven - Black"
hotpoint-h101gantistain | Hotpoint | H101GANTISTAIN | washing-machines | 329 | "10kg 1400 Spin Washing Machine with PetHairCare - Graphite" | "H101GANTISTAIN Hotpoint H101GANTISTAIN 10kg 1400 Spin Washing Machine with PetHairCare - Graphite"
hotpoint-h2fhl626uk | Hotpoint | H2FHL626UK | freestanding-dishwashers | 246 | "Dishwasher - White - 14 Place Settings" | "H2FHL626UK Hotpoint H2FHL626UK Dishwasher - White - 14 Place Settings"
hotpoint-h7fhs41uk | Hotpoint | H7FHS41UK | freestanding-dishwashers | 359 | "Dishwasher - White - 15 Place Settings" | "H7FHS41UK Hotpoint H7FHS41UK Dishwasher - White - 15 Place Settings"
hotpoint-h7ic16m6uk | Hotpoint | H7IC16M6UK | integrated-dishwashers | 399 | "Maxi Space H7IC16M6 UK Integrated Dishwasher with Third Rack - 16 Place Settings" | "H7IC16M6UK Hotpoint Maxi Space H7IC16M6 UK Integrated Dishwasher with Third Rack - 16 Place Settings"
hotpoint-h8ihp42luk | Hotpoint | H8IHP42LUK | integrated-dishwashers | 409 | "Built In Dishwasher - 14 Place Settings" | "H8IHP42LUK Hotpoint H8IHP42LUK Built In Dishwasher - 14 Place Settings"
hotpoint-hbd9681antstain | Hotpoint | HBD9681ANTSTAIN | washer-dryers | 409 | "Freestanding Washer Dryer HBD9681ANTSTAIN - 9kg Wash/ 6Kg Dry - 1400 SPin - White" | "HBD9681ANTSTAIN HOTPOINT Freestanding Washer Dryer HBD9681ANTSTAIN - 9kg Wash/ 6Kg Dry - 1400 SPin - White"
hotpoint-hde6vdc2b1 | Hotpoint | HDE6VDC2B1 | cookers | 529.99 | "HDEU67V9C2B/UK 60cm Double Oven Electric Cooker with Ceramic Hob - Black" | "HDE6VDC2B1 Hotpoint HDEU67V9C2B/UK 60cm Double Oven Electric Cooker with Ceramic Hob - Black"
hotpoint-hdg6gdcwx | Hotpoint | HDG6GDCWX | cookers | 599 | "Gas Double Cooker 60CM - 78L / 34L with Glass Lid" | "HDG6GDCWX HOTPOINT HDG6GDCWX Gas Double Cooker 60CM - 78L / 34L with Glass Lid"
hotpoint-hoi4s8pm0buk | Hotpoint | HOI4S8PM0BUK | air-fryers-multi-cookers | 379 | "60cm Built-In Single Pyrolytic Oven with Active Multiflow and Air Fry" | "HOI4S8PM0BUK Hotpoint HOI4S8PM0BUK 60cm Built-In Single Pyrolytic Oven with Active Multiflow and Air Fry"
hotpoint-hoi68pt1sbuk | Hotpoint | HOI68PT1SBUK | air-fryers-multi-cookers | 469 | "60cm Built-In Single Pyrolytic Oven with Active Multiflow and Air Fry" | "HOI68PT1SBUK Hotpoint HOI68PT1SBUK 60cm Built-In Single Pyrolytic Oven with Active Multiflow and Air Fry"
hotpoint-hp2ffc14bn6wuk | Hotpoint | HP2FFC14BN6WUK | freestanding-dishwashers | 299 | "Dishwasher with ActiveDry - White - 14 Place Settings" | "HP2FFC14BN6WUK Hotpoint HP2FFC14BN6WUK Dishwasher with ActiveDry - White - 14 Place Settings"
hotpoint-hpk26363w4uk | Hotpoint | HPK26363W4UK | fridge-freezers | 399 | "HPK 26363 W4UK Dual No Frost 60/40 Fridge Freezer with Even Flow - White" | "HPK26363W4UK Hotpoint HPK 26363 W4UK Dual No Frost 60/40 Fridge Freezer with Even Flow - White"
hotpoint-hpkf5351xp4uk | Hotpoint | HPKF5351XP4UK | american-fridge-freezers | 649 | "HPKF 5351 XP4UK Dual No Frost 3 Door American Fridge Freezer with VitalCare - Brushed Steel" | "HPKF5351XP4UK Hotpoint HPKF 5351 XP4UK Dual No Frost 3 Door American Fridge Freezer with VitalCare - Brushed Steel"
hotpoint-hpkh1262b4uk | Hotpoint | HPKH1262B4UK | fridge-freezers | 576 | "HPKH 1262B4 UK Integrated No Frost 50/50 Fridge Freezer" | "HPKH1262B4UK Hotpoint HPKH 1262B4 UK Integrated No Frost 50/50 Fridge Freezer"
